"","State","stcd","district","urbanindex","grouping","incumbent_party","Winning.party","Total.Population","Percentage.Women","Median.Household.Income","Mean.Household.Income","Median.Age","Percentage.Retirees..65..","Percentage.Bachelors.Degree.in.Population.over.25","Unemployment.Rate..16.and.over.","Region","index"
"193","Massachusetts","MA-07",7,13.54608,"Dense Urban",1,1,754113,0.512,81795,129758,32.9,0.122880788,0.264,0.038,"Northeast",6
"194","Massachusetts","MA-05",5,12.75613,"Urban-Suburban",1,1,776294,0.515,115167,171015,39.5,0.172569928,0.284,0.017,"Northeast",6
"195","Massachusetts","MA-04",4,11.77869,"Dense Suburban",1,1,782122,0.515,110374,165007,40.3,0.166950936,0.255,0.03,"Northeast",6
"196","Massachusetts","MA-06",6,11.83451,"Dense Suburban",1,1,771813,0.511,106226,149868,43.2,0.201604534,0.279,0.021,"Northeast",6
"197","Massachusetts","MA-02",2,11.14515,"Suburban-Exurban",1,1,785076,0.505,88327,124258,39.7,0.177210869,0.242,0.031,"Northeast",6
"198","Massachusetts","MA-09",9,10.66888,"Suburban-Exurban",1,1,785636,0.507,94066,135443,47.3,0.246616754,0.251,0.025,"Northeast",6
"199","Michigan","MI-02",2,8.82769,"Mostly Rural",0,0,781036,0.49,61030,79846,41.6,0.196318736,0.143,0.023,"Midwest",16
"200","Michigan","MI-05",5,9.67438,"Rural-Exurban",1,0,768082,0.495,64067,85508,42,0.201067074,0.148,0.029,"Midwest",16
"201","Michigan","MI-08",8,10.69794,"Suburban-Exurban",1,1,768166,0.51,57526,81071,41.5,0.198567757,0.169,0.039,"Midwest",16
"202","Michigan","MI-10",10,12.41793,"Dense Suburban",0,0,764788,0.512,71936,95139,41,0.187787988,0.189,0.03,"Midwest",16
"203","Michigan","MI-07",7,10.5525,"Suburban-Exurban",0,1,779873,0.506,74404,100573,38.7,0.175397789,0.223,0.025,"Midwest",16
"204","Michigan","MI-12",12,12.66166,"Urban-Suburban",1,1,759672,0.517,54818,79389,37.3,0.167448583,0.165,0.043,"Midwest",16
"205","Michigan","MI-13",13,12.4986,"Dense Suburban",1,1,757463,0.516,47778,75789,37.3,0.162566356,0.128,0.049,"Midwest",16
"206","Michigan","MI-06",6,11.5115,"Dense Suburban",0,1,765213,0.503,88275,120504,38.8,0.171143198,0.276,0.022,"Midwest",16
"207","Michigan","MI-04",4,10.54956,"Suburban-Exurban",0,0,778490,0.506,70086,92562,37.8,0.177655461,0.209,0.023,"Midwest",16
"208","Michigan","MI-01",1,8.3504,"Mostly Rural",0,0,782743,0.488,60877,78945,47.6,0.25738333,0.177,0.021,"Midwest",16
"209","Michigan","MI-11",11,12.18432,"Dense Suburban",1,1,769865,0.503,86379,125050,40.7,0.183963422,0.278,0.027,"Midwest",16
"210","Michigan","MI-03",3,11.59025,"Dense Suburban",NA,1,781426,0.503,72574,98781,35.9,0.155383875,0.25,0.023,"Midwest",16
"211","Michigan","MI-09",9,10.04531,"Rural-Exurban",1,0,777301,0.501,78456,106685,43.8,0.196492736,0.182,0.019,"Midwest",16
"212","Minnesota","MN-05",5,12.88577,"Urban-Suburban",1,1,706667,0.499,77372,112891,34.7,0.134365974,0.312,0.031,"Midwest",12
"213","Minnesota","MN-04",4,12.31958,"Dense Suburban",1,1,700555,0.507,82138,114222,37.2,0.159739064,0.289,0.023,"Midwest",12
"214","Minnesota","MN-02",2,11.22782,"Suburban-Exurban",1,1,724575,0.502,101144,127199,38.5,0.152976572,0.298,0.021,"Midwest",12
"215","Minnesota","MN-03",3,11.89663,"Dense Suburban",1,1,700754,0.504,100867,142010,41.4,0.185129161,0.329,0.021,"Midwest",12
"216","Minnesota","MN-07",7,8.14396,"Mostly Rural",0,0,713848,0.493,70672,90681,41.9,0.213216259,0.178,0.019,"Midwest",12
"217","Minnesota","MN-08",8,8.7145,"Mostly Rural",0,0,725126,0.491,69868,92889,42.6,0.214961262,0.18,0.022,"Midwest",12
"218","Minnesota","MN-01",1,9.4322,"Mostly Rural",0,0,714126,0.497,73826,97587,39.4,0.191356987,0.204,0.02,"Midwest",12
"219","Minnesota","MN-06",6,10.45171,"Rural-Exurban",0,0,731533,0.492,95930,120995,37.5,0.140643006,0.244,0.018,"Midwest",12
"220","Mississippi","MS-01",1,9.21649,"Mostly Rural",0,0,748916,0.513,56871,80948,38.1,0.16711487,0.146,0.022,"South",43
"221","Mississippi","MS-04",4,9.69525,"Rural-Exurban",0,0,750414,0.513,57460,77273,38.9,0.172612718,0.155,0.031,"South",43
"222","Mississippi","MS-03",3,9.18269,"Mostly Rural",0,0,735973,0.522,56209,81816,39.3,0.175824385,0.173,0.024,"South",43
"223","Mississippi","MS-02",2,8.97501,"Mostly Rural",1,1,704754,0.511,40532,63317,39.4,0.183178811,0.13,0.034,"South",43
"224","Missouri","MO-08",8,8.99901,"Mostly Rural",0,0,775424,0.5,53903,76922,40.7,0.185685509,0.137,0.023,"Midwest",20
"225","Missouri","MO-04",4,9.13833,"Mostly Rural",0,0,780184,0.497,62213,82741,38.4,0.180890662,0.158,0.023,"Midwest",20
"226","Missouri","MO-03",3,10.14706,"Rural-Exurban",0,0,773675,0.507,75478,97042,39.7,0.183274631,0.213,0.021,"Midwest",20
"227","Missouri","MO-06",6,9.23278,"Mostly Rural",0,0,768652,0.499,66176,91011,39.3,0.179909764,0.165,0.02,"Midwest",20
"228","Missouri","MO-05",5,11.89316,"Dense Suburban",1,1,773627,0.513,61184,86890,37.1,0.163878717,0.222,0.023,"Midwest",20
"229","Missouri","MO-01",1,12.366,"Dense Suburban",1,1,742101,0.521,57762,86740,37,0.166225352,0.214,0.035,"Midwest",20
"230","Missouri","MO-07",7,10.0606,"Rural-Exurban",0,0,785669,0.507,56419,74018,38.5,0.182813628,0.175,0.022,"Midwest",20
"231","Missouri","MO-02",2,11.42386,"Suburban-Exurban",0,0,778625,0.51,96915,133197,41.8,0.198005458,0.29,0.018,"Midwest",20
"232","Montana","MT-01",1,8.95109,"Mostly Rural",0,0,569331,0.491,65994,91510,39.9,0.199843325,0.241,0.021,"West",48
"233","Montana","MT-02",2,8.61416,"Mostly Rural",NA,0,553536,0.499,69884,89221,40.5,0.202984088,0.216,0.017,"West",48
"234","Nebraska","NE-01",1,10.91282,"Suburban-Exurban",0,0,659903,0.494,74193,94549,36.1,0.159773482,0.242,0.015,"Midwest",26
"235","Nebraska","NE-02",2,11.95222,"Dense Suburban",0,0,658116,0.5,77535,110786,35.9,0.141046563,0.264,0.019,"Midwest",26
"236","Nebraska","NE-03",3,8.26581,"Mostly Rural",0,0,649904,0.498,61627,80233,40.6,0.21024182,0.173,0.013,"Midwest",26
"237","Nevada","NV-03",3,12.51288,"Urban-Suburban",1,1,796804,0.501,75550,105845,39.7,0.165811166,0.22,0.034,"West",17
"238","Nevada","NV-04",4,12.07472,"Dense Suburban",1,1,821679,0.497,70338,90471,36.9,0.153144963,0.143,0.037,"West",17
"239","Nevada","NV-02",2,10.38652,"Rural-Exurban",0,0,791398,0.491,79687,102689,40.2,0.19174423,0.176,0.029,"West",17
"240","Nevada","NV-01",1,12.57916,"Urban-Suburban",1,1,767891,0.497,63781,87925,38.9,0.167719116,0.162,0.038,"West",17
"241","New Hampshire","NH-02",2,9.63994,"Rural-Exurban",1,1,691308,0.497,88494,119762,43.8,0.208932921,0.239,0.02,"Northeast",37
"242","New Hampshire","NH-01",1,10.62228,"Suburban-Exurban",1,1,703923,0.504,91412,122606,42.8,0.195399213,0.253,0.013,"Northeast",37
"243","New Jersey","NJ-08",8,13.9866,"Dense Urban",1,1,765996,0.494,78229,127181,35.4,0.119304801,0.244,0.034,"Northeast",2
"244","New Jersey","NJ-01",1,12.28513,"Dense Suburban",1,1,766706,0.515,82670,111894,39.3,0.170873842,0.222,0.036,"Northeast",2
"245","New Jersey","NJ-05",5,12.50314,"Urban-Suburban",1,1,774198,0.506,124761,166989,42.9,0.188491833,0.312,0.029,"Northeast",2
"246","New Jersey","NJ-09",9,13.36543,"Dense Urban",1,1,751224,0.511,77469,111733,38.9,0.162034227,0.215,0.038,"Northeast",2
"247","New Jersey","NJ-06",6,12.33669,"Dense Suburban",1,1,784092,0.501,100440,132663,38,0.15253057,0.254,0.034,"Northeast",2
"248","New Jersey","NJ-12",12,11.95689,"Dense Suburban",1,1,767218,0.508,109146,148551,40.9,0.165942405,0.267,0.037,"Northeast",2
"249","New Jersey","NJ-02",2,10.52803,"Suburban-Exurban",0,0,791164,0.501,80850,108849,43.1,0.209067905,0.195,0.033,"Northeast",2
"250","New Jersey","NJ-04",4,11.69053,"Dense Suburban",0,0,786940,0.514,90090,130419,41.6,0.216282055,0.26,0.027,"Northeast",2
"251","New Jersey","NJ-07",7,11.26173,"Suburban-Exurban",1,0,775400,0.508,131419,184568,44.1,0.187823059,0.326,0.029,"Northeast",2
"252","New Jersey","NJ-10",10,13.49694,"Dense Urban",1,1,746241,0.513,67939,104054,37.9,0.146074794,0.197,0.05,"Northeast",2
"253","New Jersey","NJ-03",3,11.55043,"Dense Suburban",1,1,773328,0.508,106253,143021,43,0.191393561,0.281,0.024,"Northeast",2
"254","New Jersey","NJ-11",11,12.35098,"Dense Suburban",1,1,779192,0.506,128233,183318,41.4,0.17518147,0.329,0.029,"Northeast",2
"255","New Mexico","NM-02",2,9.98027,"Rural-Exurban",0,1,696764,0.503,53550,71424,36.9,0.173502075,0.134,0.03,NA,34
"256","New Mexico","NM-03",3,9.01836,"Mostly Rural",1,1,703053,0.506,58790,81134,40.4,0.202040244,0.156,0.03,NA,34
"257","New Mexico","NM-01",1,11.43298,"Suburban-Exurban",1,1,713527,0.504,66579,91517,40.6,0.198799765,0.214,0.023,NA,34
"258","New York","NY-12",12,14.9034,"Dense Urban",1,1,705008,0.519,142104,232024,40.3,0.198956608,0.403,0.029,"Northeast",1
"259","New York","NY-07",7,14.85414,"Dense Urban",1,1,699930,0.512,88141,137243,34.2,0.113467061,0.303,0.036,"Northeast",1
"260","New York","NY-09",9,14.69678,"Dense Urban",1,1,756507,0.528,71800,105059,36.9,0.165820012,0.234,0.049,"Northeast",1
"261","New York","NY-13",13,14.69063,"Dense Urban",1,1,770616,0.524,47855,90725,36.8,0.154432298,0.2,0.055,"Northeast",1
"262","New York","NY-15",15,14.65565,"Dense Urban",1,1,727699,0.525,42090,74697,35.5,0.136112596,0.136,0.056,"Northeast",1
"263","New York","NY-10",10,14.653,"Dense Urban",1,1,706151,0.523,103988,200712,37,0.15408744,0.325,0.033,"Northeast",1
"264","New York","NY-14",14,14.64697,"Dense Urban",1,1,730392,0.507,61052,91735,37.1,0.155212543,0.181,0.045,"Northeast",1
"265","New York","NY-08",8,14.51535,"Dense Urban",1,1,754074,0.525,58631,100435,38.1,0.176082188,0.215,0.047,"Northeast",1
"266","New York","NY-06",6,14.4845,"Dense Urban",1,1,752577,0.515,73861,104150,42.6,0.198907221,0.23,0.027,"Northeast",1
"267","New York","NY-24",24,9.59475,"Rural-Exurban",0,0,774173,0.498,66103,85603,42.3,0.205073026,0.16,0.026,"Northeast",1
"268","New York","NY-26",26,12.32544,"Dense Suburban",1,1,770160,0.51,63995,88324,39.4,0.184896645,0.193,0.021,"Northeast",1
"269","New York","NY-25",25,11.80862,"Dense Suburban",1,1,768169,0.514,67775,96132,39.7,0.190499747,0.215,0.029,"Northeast",1
"270","New York","NY-05",5,13.78018,"Dense Urban",1,1,751997,0.519,81621,108662,41.2,0.171962122,0.185,0.041,"Northeast",1
"271","New York","NY-19",19,10.01977,"Rural-Exurban",1,0,768600,0.5,67645,92799,42.2,0.213001561,0.185,0.024,"Northeast",1
"272","New York","NY-18",18,10.77794,"Suburban-Exurban",1,1,786432,0.502,87124,113651,39.5,0.175149282,0.192,0.025,"Northeast",1
"273","New York","NY-17",17,11.44308,"Suburban-Exurban",1,0,771464,0.5,115661,172012,40.2,0.17825848,0.273,0.03,"Northeast",1
"274","New York","NY-11",11,13.62688,"Dense Urban",0,0,740025,0.51,82517,119276,41,0.181791156,0.203,0.03,"Northeast",1
"275","New York","NY-20",20,11.2734,"Suburban-Exurban",1,1,781546,0.508,79758,111011,40.3,0.186911583,0.232,0.032,"Northeast",1
"276","New York","NY-23",23,9.27141,"Mostly Rural",0,0,770357,0.505,66388,94297,43.9,0.217518631,0.171,0.026,"Northeast",1
"277","New York","NY-01",1,11.83754,"Dense Suburban",0,0,775158,0.509,126171,166414,44,0.20377652,0.245,0.024,"Northeast",1
"278","New York","NY-22",22,10.73647,"Suburban-Exurban",0,0,764843,0.508,68941,93531,40.4,0.194093428,0.197,0.023,"Northeast",1
"279","New York","NY-21",21,8.77082,"Mostly Rural",0,0,776361,0.487,66565,85227,42.4,0.207135598,0.155,0.02,"Northeast",1
"280","New York","NY-16",16,13.2321,"Dense Urban",1,1,756711,0.516,96051,173412,41.2,0.178016442,0.24,0.031,"Northeast",1
"281","New York","NY-03",3,12.46215,"Dense Suburban",1,0,771208,0.513,129730,181141,44.9,0.214349436,0.293,0.023,"Northeast",1
"282","New York","NY-02",2,12.21863,"Dense Suburban",0,0,775081,0.497,113994,140582,39.9,0.160596118,0.192,0.027,"Northeast",1
"283","New York","NY-04",4,13.14159,"Dense Urban",1,0,771912,0.507,131291,164099,40.5,0.182773425,0.232,0.029,"Northeast",1
"284","North Carolina","NC-14",14,11.90635,"Dense Suburban",NA,1,766123,0.516,81717,127063,36.8,0.134105098,0.33,0.022,"South",27
"285","North Carolina","NC-05",5,10.03604,"Rural-Exurban",0,0,754512,0.514,54503,81612,41.6,0.201550141,0.186,0.028,"South",27
"286","North Carolina","NC-03",3,9.34073,"Mostly Rural",0,0,756848,0.492,61546,80318,37.8,0.185326512,0.176,0.022,"South",27
"287","North Carolina","NC-07",7,10.01653,"Rural-Exurban",0,0,774574,0.514,62763,85247,41.8,0.210931428,0.203,0.024,"South",27
"288","North Carolina","NC-08",8,10.18313,"Rural-Exurban",0,0,760699,0.507,69466,97207,40.5,0.170373564,0.177,0.023,"South",27
"289","North Carolina","NC-02",2,11.81898,"Dense Suburban",0,1,779106,0.508,96138,133177,36.8,0.127126476,0.368,0.016,"South",27
"290","North Carolina","NC-04",4,10.8961,"Suburban-Exurban",1,1,761039,0.521,74019,101762,37.4,0.163069173,0.256,0.019,"South",27
"291","North Carolina","NC-01",1,9.45644,"Mostly Rural",1,1,753536,0.514,53854,75802,40.7,0.197284536,0.161,0.031,"South",27
"292","North Carolina","NC-10",10,10.17915,"Rural-Exurban",0,0,768814,0.5,64668,88672,42.9,0.192945238,0.183,0.023,"South",27
"293","North Carolina","NC-13",13,10.83426,"Suburban-Exurban",0,1,776185,0.506,82201,107430,38.9,0.147535703,0.241,0.021,"South",27
"294","North Carolina","NC-12",12,11.79664,"Dense Suburban",1,1,770376,0.513,73841,107655,35.8,0.123180109,0.282,0.024,"South",27
"295","North Carolina","NC-11",11,9.70481,"Rural-Exurban",0,0,756051,0.521,62261,85301,45.7,0.248876068,0.224,0.017,"South",27
"296","North Carolina","NC-09",9,10.20829,"Rural-Exurban",0,0,769258,0.509,62661,79319,36.5,0.172139906,0.184,0.026,"South",27
"297","North Carolina","NC-06",6,11.04841,"Suburban-Exurban",0,1,751852,0.522,61429,87520,39,0.170794252,0.215,0.027,"South",27
"298","North Dakota","ND-01",1,9.26211,"Mostly Rural",0,0,779261,0.488,71970,94991,36.2,0.16720072,0.223,0.015,"Midwest",45
"299","Ohio","OH-07",7,11.35736,"Suburban-Exurban",0,0,774125,0.509,81160,107914,42.9,0.207639593,0.234,0.017,"Midwest",18
"300","Ohio","OH-13",13,11.65369,"Dense Suburban",1,1,778868,0.513,65001,90261,41.7,0.201669603,0.214,0.022,"Midwest",18
"301","Ohio","OH-05",5,9.90051,"Rural-Exurban",0,0,785544,0.504,64333,88710,40.9,0.193171866,0.159,0.019,"Midwest",18
"302","Ohio","OH-11",11,12.4239,"Dense Suburban",1,1,769169,0.523,50228,81926,38.5,0.183882866,0.189,0.043,"Midwest",18
"303","Ohio","OH-12",12,9.76928,"Rural-Exurban",0,0,793038,0.499,69819,95227,40,0.177722883,0.179,0.022,"Midwest",18
"304","Ohio","OH-04",4,9.84778,"Rural-Exurban",0,0,799350,0.495,72537,99973,40.7,0.179650966,0.188,0.023,"Midwest",18
"305","Ohio","OH-01",1,11.9257,"Dense Suburban",0,1,790801,0.511,74773,115110,37.2,0.156945932,0.263,0.021,"Midwest",18
"306","Ohio","OH-02",2,9.35387,"Mostly Rural",0,0,786489,0.499,61589,84216,41.1,0.185701262,0.132,0.02,"Midwest",18
"307","Ohio","OH-09",9,10.81999,"Suburban-Exurban",1,1,780071,0.506,62077,86175,41.1,0.194420764,0.172,0.022,"Midwest",18
"308","Ohio","OH-10",10,11.47421,"Suburban-Exurban",0,0,782035,0.511,64173,87361,39.4,0.189919888,0.182,0.03,"Midwest",18
"309","Ohio","OH-15",15,11.37228,"Suburban-Exurban",0,0,785817,0.497,71285,96379,36.9,0.148911261,0.21,0.023,"Midwest",18
"310","Ohio","OH-06",6,10.12129,"Rural-Exurban",0,0,778876,0.501,57817,75239,43.2,0.221416503,0.14,0.019,"Midwest",18
"311","Ohio","OH-08",8,11.23309,"Suburban-Exurban",0,0,781678,0.504,72748,95642,39,0.181945763,0.193,0.022,"Midwest",18
"312","Ohio","OH-03",3,12.51553,"Urban-Suburban",1,1,785836,0.513,67720,99116,34.5,0.133763279,0.272,0.024,"Midwest",18
"313","Ohio","OH-14",14,10.5151,"Suburban-Exurban",0,0,784361,0.501,65214,91799,42.9,0.211588796,0.19,0.024,"Midwest",18
"314","Oklahoma","OK-03",3,9.51656,"Rural-Exurban",0,0,796469,0.491,54397,73175,35.5,0.153314191,0.15,0.025,"South",32
"315","Oklahoma","OK-02",2,8.6155,"Mostly Rural",0,0,802111,0.501,50776,72998,39.7,0.191936029,0.135,0.022,"South",32
"316","Oklahoma","OK-05",5,11.04301,"Suburban-Exurban",0,0,807931,0.509,68269,98507,37.6,0.162199495,0.25,0.024,"South",32
"317","Oklahoma","OK-04",4,10.17789,"Rural-Exurban",0,0,805331,0.498,62067,78845,36.3,0.158385807,0.177,0.029,"South",32
"318","Oklahoma","OK-01",1,11.53769,"Dense Suburban",0,0,807958,0.508,64465,89759,36.7,0.157598539,0.216,0.024,"South",32
"319","Oregon","OR-05",5,10.97807,"Suburban-Exurban",1,0,719249,0.501,86573,116800,41.8,0.199523392,0.25,0.021,"West",22
"320","Oregon","OR-01",1,11.6196,"Dense Suburban",1,1,714598,0.501,89182,123435,38.3,0.159412705,0.265,0.024,"West",22
"321","Oregon","OR-02",2,8.90369,"Mostly Rural",0,0,700774,0.495,62171,83149,43.1,0.233150773,0.146,0.029,"West",22
"322","Oregon","OR-03",3,12.27807,"Dense Suburban",1,1,687278,0.496,80939,110130,39.3,0.152385207,0.253,0.032,"West",22
"323","Oregon","OR-06",6,11.27783,"Suburban-Exurban",NA,1,702788,0.502,78442,103286,38.8,0.176959481,0.222,0.024,"West",22
"324","Oregon","OR-04",4,10.15422,"Rural-Exurban",1,1,715450,0.502,61845,81852,42.5,0.233152561,0.193,0.03,"West",22
"325","Pennsylvania","PA-15",15,8.93615,"Mostly Rural",0,0,759208,0.488,60094,80712,42.7,0.211631068,0.143,0.019,"Northeast",5
"326","Pennsylvania","PA-05",5,12.70543,"Urban-Suburban",1,1,768063,0.52,79416,122836,38.7,0.164991674,0.23,0.038,"Northeast",5
"327","Pennsylvania","PA-14",14,9.93512,"Rural-Exurban",0,0,755713,0.501,62622,88772,45.1,0.229679786,0.172,0.029,"Northeast",5
"328","Pennsylvania","PA-10",10,11.25456,"Suburban-Exurban",0,0,779565,0.507,75032,99193,39.6,0.18180652,0.207,0.023,"Northeast",5
"329","Pennsylvania","PA-16",16,10.09883,"Rural-Exurban",0,0,761430,0.504,61715,87862,42.9,0.213797723,0.189,0.02,"Northeast",5
"330","Pennsylvania","PA-13",13,9.46451,"Mostly Rural",0,0,764692,0.5,64430,87402,43.6,0.218689355,0.138,0.018,"Northeast",5
"331","Pennsylvania","PA-07",7,11.4384,"Suburban-Exurban",1,1,774340,0.504,72660,103346,40.9,0.189835215,0.195,0.029,"Northeast",5
"332","Pennsylvania","PA-17",17,11.57211,"Dense Suburban",1,1,752331,0.514,77014,114996,43.7,0.216759644,0.266,0.023,"Northeast",5
"333","Pennsylvania","PA-08",8,10.55984,"Suburban-Exurban",1,1,766586,0.501,63172,87863,43.1,0.205812525,0.174,0.033,"Northeast",5
"334","Pennsylvania","PA-12",12,12.1425,"Dense Suburban",0,1,758799,0.507,68078,97284,39.7,0.202726941,0.241,0.03,"Northeast",5
"335","Pennsylvania","PA-06",6,11.35723,"Suburban-Exurban",1,1,771296,0.504,98751,138258,39.9,0.174900427,0.293,0.026,"Northeast",5
"336","Pennsylvania","PA-11",11,10.90266,"Suburban-Exurban",0,0,768350,0.505,82321,104833,40.5,0.202161775,0.195,0.019,"Northeast",5
"337","Pennsylvania","PA-02",2,13.47543,"Dense Urban",1,1,717771,0.517,53536,80806,36.7,0.153429158,0.179,0.039,"Northeast",5
"338","Pennsylvania","PA-09",9,9.61451,"Rural-Exurban",0,0,760960,0.5,65710,86986,43.2,0.213241169,0.15,0.024,"Northeast",5
"339","Pennsylvania","PA-03",3,13.63714,"Dense Urban",1,1,772128,0.529,60400,94159,33.8,0.143344109,0.223,0.05,"Northeast",5
"340","Pennsylvania","PA-04",4,11.84089,"Dense Suburban",1,1,780519,0.508,103922,142093,42.1,0.197874747,0.274,0.021,"Northeast",5
"341","Pennsylvania","PA-01",1,11.71746,"Dense Suburban",0,0,760257,0.503,104881,143185,44.2,0.206389418,0.254,0.021,"Northeast",5
"342","Rhode Island","RI-02",2,11.521,"Dense Suburban",1,1,550545,0.506,84751,114867,41.2,0.189850058,0.24,0.029,NA,25
"343","Rhode Island","RI-01",1,12.00113,"Dense Suburban",1,1,543189,0.514,78966,110258,39.9,0.187036188,0.238,0.029,NA,25
"344","South Carolina","SC-05",5,10.07118,"Rural-Exurban",0,0,758549,0.513,66451,89708,40.5,0.179376678,0.187,0.024,"South",35
"345","South Carolina","SC-07",7,9.82861,"Rural-Exurban",0,0,762499,0.521,53313,77890,45,0.236909163,0.161,0.027,"South",35
"346","South Carolina","SC-06",6,10.26945,"Rural-Exurban",1,1,741110,0.521,51364,75482,37.1,0.172225446,0.178,0.035,"South",35
"347","South Carolina","SC-04",4,11.18361,"Suburban-Exurban",0,0,754482,0.513,64879,94088,38.4,0.168648159,0.227,0.028,"South",35
"348","South Carolina","SC-01",1,10.65648,"Suburban-Exurban",0,0,762713,0.507,85282,114474,41.3,0.205288228,0.259,0.016,"South",35
"349","South Carolina","SC-02",2,10.65473,"Suburban-Exurban",0,0,750640,0.514,71562,92365,40,0.176877065,0.214,0.029,"South",35
"350","South Carolina","SC-03",3,9.72732,"Rural-Exurban",0,0,752641,0.506,56693,80331,41.3,0.196218383,0.157,0.023,"South",35
"351","South Dakota","SD-01",1,8.9698,"Mostly Rural",0,0,909824,0.492,69728,89048,38.5,0.182352851,0.217,0.019,"Midwest",47
"352","Tennessee","TN-06",6,10.09657,"Rural-Exurban",0,0,783125,0.499,64687,89526,39.6,0.177156903,0.194,0.021,NA,29
"353","Tennessee","TN-01",1,9.8716,"Rural-Exurban",0,0,781128,0.505,54716,76834,43.9,0.210449504,0.15,0.021,NA,29
"354","Tennessee","TN-05",5,10.9531,"Suburban-Exurban",1,0,784695,0.51,86017,122728,39,0.156081025,0.299,0.016,NA,29
"355","Tennessee","TN-08",8,9.55329,"Rural-Exurban",0,0,768105,0.515,63678,94568,41.3,0.195376934,0.168,0.025,NA,29
"356","Tennessee","TN-02",2,10.81321,"Suburban-Exurban",0,0,790362,0.508,66809,92884,40.3,0.188326362,0.211,0.015,NA,29
"357","Tennessee","TN-04",4,9.67047,"Rural-Exurban",0,0,796991,0.502,65227,82606,37.9,0.156931509,0.173,0.016,NA,29
"358","Tennessee","TN-03",3,10.26313,"Rural-Exurban",0,0,788228,0.509,68127,93286,40.8,0.190076983,0.181,0.018,NA,29
"359","Tennessee","TN-07",7,10.24005,"Rural-Exurban",0,0,801730,0.508,70095,92273,35.5,0.138433138,0.215,0.024,NA,29
"360","Tennessee","TN-09",9,11.79929,"Dense Suburban",1,1,756975,0.525,53183,75182,34.8,0.142098484,0.179,0.037,NA,29
"361","Texas","TX-19",19,9.97486,"Rural-Exurban",0,0,767757,0.489,58951,84101,33.7,0.140566612,0.167,0.026,"South",10
"362","Texas","TX-26",26,11.37112,"Suburban-Exurban",0,0,835578,0.501,105363,134953,37.9,0.120614712,0.308,0.025,"South",10
"363","Texas","TX-21",21,10.72731,"Suburban-Exurban",0,0,807859,0.502,88786,118488,40.2,0.188608408,0.297,0.021,"South",10
"364","Texas","TX-11",11,10.5536,"Suburban-Exurban",0,0,777332,0.493,62147,86551,33.9,0.135546973,0.167,0.029,"South",10
"365","Texas","TX-36",36,10.65274,"Suburban-Exurban",0,0,770407,0.501,67663,91223,36.7,0.145094736,0.164,0.026,"South",10
"366","Texas","TX-30",30,12.2694,"Dense Suburban",1,1,767034,0.517,67465,96136,33.6,0.114671579,0.179,0.028,"South",10
"367","Texas","TX-14",14,10.69072,"Suburban-Exurban",0,0,773046,0.491,68463,97049,38.2,0.155941561,0.18,0.032,"South",10
"368","Texas","TX-03",3,11.57905,"Dense Suburban",0,0,846385,0.507,114577,143551,37.8,0.124013304,0.316,0.024,"South",10
"369","Texas","TX-23",23,9.96234,"Rural-Exurban",0,0,778355,0.491,71327,95460,34.6,0.136439028,0.195,0.023,"South",10
"370","Texas","TX-37",37,12.43119,"Dense Suburban",NA,1,785616,0.493,91114,130368,35.1,0.116895532,0.379,0.021,"South",10
"371","Texas","TX-31",31,10.70318,"Suburban-Exurban",0,0,841841,0.502,89116,118353,37.2,0.14370172,0.253,0.025,"South",10
"372","Texas","TX-06",6,10.59703,"Suburban-Exurban",0,0,801951,0.487,75003,94733,36,0.126975339,0.182,0.025,"South",10
"373","Texas","TX-02",2,11.66319,"Dense Suburban",0,0,817455,0.503,92141,123059,36.2,0.125089454,0.268,0.034,"South",10
"374","Texas","TX-04",4,10.84754,"Suburban-Exurban",0,0,817813,0.5,92686,126702,38.8,0.145622532,0.278,0.021,"South",10
"375","Texas","TX-28",28,11.00937,"Suburban-Exurban",1,1,777758,0.503,60356,79462,33.7,0.124984892,0.151,0.032,"South",10
"376","Texas","TX-35",35,11.94555,"Dense Suburban",1,1,802077,0.496,71075,88525,33.2,0.092351482,0.231,0.031,"South",10
"377","Texas","TX-15",15,10.90763,"Suburban-Exurban",1,0,776813,0.501,55382,78067,32.5,0.128365514,0.161,0.032,"South",10
"378","Texas","TX-08",8,11.14212,"Suburban-Exurban",0,0,827950,0.5,83466,115576,36.1,0.124935081,0.225,0.023,"South",10
"379","Texas","TX-18",18,12.6062,"Urban-Suburban",1,1,789388,0.487,58932,93568,32.6,0.10221336,0.176,0.045,"South",10
"380","Texas","TX-09",9,12.64574,"Urban-Suburban",1,1,774848,0.52,63597,87973,34.6,0.126304772,0.174,0.036,"South",10
"381","Texas","TX-22",22,11.31486,"Suburban-Exurban",0,0,843195,0.498,100510,128070,37.3,0.125390924,0.296,0.026,"South",10
"382","Texas","TX-32",32,12.76321,"Urban-Suburban",1,1,787408,0.499,65935,98364,32.5,0.101253734,0.262,0.031,"South",10
"383","Texas","TX-12",12,11.67191,"Dense Suburban",0,0,803772,0.502,78999,106993,36.5,0.142223168,0.229,0.025,"South",10
"384","Texas","TX-24",24,12.45018,"Dense Suburban",0,0,760070,0.508,106888,164456,38.8,0.144336706,0.328,0.021,"South",10
"385","Texas","TX-16",16,11.98973,"Dense Suburban",1,1,773386,0.505,53477,75234,33.6,0.132839229,0.177,0.035,"South",10
