"","stcd","state_code","district","urbanindex","grouping","incumbent_party","Winning.party","Total.Population","Percentage.Women","Median.Household.Income","Mean.Household.Income","Median.Age","Percentage.Retirees..65..","Percentage.Bachelors.Degree.in.Population.over.25","Unemployment.Rate..16.and.over."
"51","WI-04","WI",4,12.77521,"Urban-Suburban",0,0,719451,0.514,54672,82333,34.3,0.138684914,0.206,0.03
"52","CA-51","CA",51,12.76409,"Urban-Suburban",0,0,757528,0.5,100357,126874,37.3,0.147778036,0.273,0.031
"53","TX-32","TX",32,12.76321,"Urban-Suburban",0,0,787408,0.499,65935,98364,32.5,0.101253734,0.262,0.031
"54","CA-47","CA",47,12.75985,"Urban-Suburban",0,0,752940,0.503,117944,167329,38.5,0.161201424,0.358,0.026
"55","MA-05","MA",5,12.75613,"Urban-Suburban",0,0,776294,0.515,115167,171015,39.5,0.172569928,0.284,0.017
"56","CA-15","CA",15,12.74003,"Urban-Suburban",0,0,719254,0.5,135162,194363,41.3,0.182016367,0.277,0.024
"57","PA-05","PA",5,12.70543,"Urban-Suburban",0,0,768063,0.52,79416,122836,38.7,0.164991674,0.23,0.038
"58","CA-16","CA",16,12.69778,"Urban-Suburban",0,0,735381,0.504,160623,252250,40.6,0.179766679,0.292,0.023
"59","MD-08","MD",8,12.69373,"Urban-Suburban",0,0,755348,0.51,123494,171443,41.6,0.187945159,0.278,0.022
"60","CA-35","CA",35,12.69247,"Urban-Suburban",0,0,769910,0.497,84692,102832,34.2,0.107626865,0.154,0.036
"61","AZ-03","AZ",3,12.67575,"Urban-Suburban",0,0,835089,0.495,63913,84482,31,0.0872889,0.121,0.032
"62","MD-04","MD",4,12.67143,"Urban-Suburban",0,0,750800,0.524,86941,103631,37.9,0.145672616,0.191,0.035
"63","MI-12","MI",12,12.66166,"Urban-Suburban",0,0,759672,0.517,54818,79389,37.3,0.167448583,0.165,0.043
"64","TX-09","TX",9,12.64574,"Urban-Suburban",0,0,774848,0.52,63597,87973,34.6,0.126304772,0.174,0.036
"65","TX-18","TX",18,12.6062,"Urban-Suburban",0,0,789388,0.487,58932,93568,32.6,0.10221336,0.176,0.045
"66","FL-25","FL",25,12.59246,"Urban-Suburban",1,0,767802,0.504,79024,110218,41.9,0.170180593,0.265,0.028
"67","NV-01","NV",1,12.57916,"Urban-Suburban",0,0,767891,0.497,63781,87925,38.9,0.167719116,0.162,0.038
"68","AZ-04","AZ",4,12.56294,"Urban-Suburban",1,0,799833,0.487,79108,98571,34.6,0.148994853,0.24,0.025
"69","CA-06","CA",6,12.55663,"Urban-Suburban",0,0,749993,0.506,80409,103919,36.6,0.145234689,0.202,0.033
"70","CO-06","CO",6,12.55418,"Urban-Suburban",0,0,718693,0.498,91725,123611,37.8,0.148881372,0.286,0.028
"71","FL-23","FL",23,12.53913,"Urban-Suburban",0,0,768707,0.513,80179,121695,43.1,0.2136874,0.274,0.024
"72","TX-20","TX",20,12.52761,"Urban-Suburban",0,0,781188,0.498,56708,72033,33.7,0.121987281,0.165,0.032
"73","CA-40","CA",40,12.52466,"Urban-Suburban",0,1,742204,0.503,124144,159845,43.1,0.192022678,0.316,0.025
"74","FL-20","FL",20,12.52127,"Urban-Suburban",0,0,768934,0.513,57237,78305,39.8,0.179841183,0.167,0.039
"75","IL-06","IL",6,12.51739,"Urban-Suburban",0,0,737763,0.509,95298,131149,41.1,0.198036497,0.262,0.026
"76","OH-03","OH",3,12.51553,"Urban-Suburban",0,0,785836,0.513,67720,99116,34.5,0.133763279,0.272,0.024
"77","CA-33","CA",33,12.51408,"Urban-Suburban",0,0,774631,0.505,81830,102043,33.7,0.109676736,0.14,0.036
"78","NV-03","NV",3,12.51288,"Urban-Suburban",0,0,796804,0.501,75550,105845,39.7,0.165811166,0.22,0.034
"79","GA-05","GA",5,12.50446,"Urban-Suburban",0,0,759771,0.514,80430,128358,34.8,0.131388274,0.31,0.032
"80","NJ-05","NJ",5,12.50314,"Urban-Suburban",0,0,774198,0.506,124761,166989,42.9,0.188491833,0.312,0.029
"81","MI-13","MI",13,12.4986,"Dense Suburban",0,0,757463,0.516,47778,75789,37.3,0.162566356,0.128,0.049
"82","NY-03","NY",3,12.46215,"Dense Suburban",0,1,771208,0.513,129730,181141,44.9,0.214349436,0.293,0.023
"83","TX-29","TX",29,12.45498,"Dense Suburban",0,0,732116,0.488,50461,69251,33.1,0.110501614,0.095,0.047
"84","TX-24","TX",24,12.45018,"Dense Suburban",1,1,760070,0.508,106888,164456,38.8,0.144336706,0.328,0.021
"85","WA-09","WA",9,12.43778,"Dense Suburban",0,0,751668,0.498,94488,135669,38.2,0.153791301,0.257,0.03
"86","MA-08","MA",8,12.42628,"Dense Suburban",0,0,773868,0.51,103758,153589,40.2,0.17861961,0.288,0.027
"87","TX-33","TX",33,12.42466,"Dense Suburban",0,0,764729,0.496,57463,79425,32.2,0.102689973,0.14,0.03
"88","OH-11","OH",11,12.4239,"Dense Suburban",0,0,769169,0.523,50228,81926,38.5,0.183882866,0.189,0.043
"89","VA-11","VA",11,12.42183,"Dense Suburban",0,0,784031,0.496,152783,180734,39.2,0.148708406,0.34,0.021
"90","MI-10","MI",10,12.41793,"Dense Suburban",1,1,764788,0.512,71936,95139,41,0.187787988,0.189,0.03
"91","FL-10","FL",10,12.39927,"Dense Suburban",0,0,766928,0.51,64575,96054,34.9,0.127559562,0.256,0.029
"92","IL-01","IL",1,12.39519,"Dense Suburban",0,0,728550,0.524,64107,93637,40.2,0.185970764,0.179,0.052
"93","CA-50","CA",50,12.38566,"Dense Suburban",1,0,748969,0.486,108881,147311,37,0.152242616,0.326,0.028
"94","CA-07","CA",7,12.37742,"Dense Suburban",0,0,763060,0.504,85158,111062,37.3,0.157310041,0.22,0.034
"95","MO-01","MO",1,12.366,"Dense Suburban",0,0,742101,0.521,57762,86740,37,0.166225352,0.214,0.035
"96","FL-26","FL",26,12.35861,"Dense Suburban",1,1,796673,0.509,67071,92098,42.6,0.189362511,0.192,0.021
"97","CA-14","CA",14,12.35435,"Dense Suburban",0,0,733220,0.507,135760,176217,40.6,0.160562996,0.29,0.029
"98","NJ-11","NJ",11,12.35098,"Dense Suburban",0,0,779192,0.506,128233,183318,41.4,0.17518147,0.329,0.029
"99","FL-22","FL",22,12.34584,"Dense Suburban",0,0,783947,0.513,73404,114136,46.7,0.26959348,0.235,0.025
"100","AZ-08","AZ",8,12.33945,"Dense Suburban",1,1,811500,0.512,79042,104214,42.6,0.232293284,0.201,0.024
"101","NJ-06","NJ",6,12.33669,"Dense Suburban",0,0,784092,0.501,100440,132663,38,0.15253057,0.254,0.034
"102","NY-26","NY",26,12.32544,"Dense Suburban",0,0,770160,0.51,63995,88324,39.4,0.184896645,0.193,0.021
"103","MN-04","MN",4,12.31958,"Dense Suburban",0,0,700555,0.507,82138,114222,37.2,0.159739064,0.289,0.023
"104","HI-01","HI",1,12.29852,"Dense Suburban",0,0,717738,0.497,96086,119586,40.9,0.205084585,0.242,0.021
"105","NJ-01","NJ",1,12.28513,"Dense Suburban",0,0,766706,0.515,82670,111894,39.3,0.170873842,0.222,0.036
"106","OR-03","OR",3,12.27807,"Dense Suburban",0,0,687278,0.496,80939,110130,39.3,0.152385207,0.253,0.032
"107","TX-30","TX",30,12.2694,"Dense Suburban",0,0,767034,0.517,67465,96136,33.6,0.114671579,0.179,0.028
"108","CA-39","CA",39,12.26121,"Dense Suburban",1,0,770106,0.501,84017,101185,32.9,0.109708274,0.119,0.037
"109","IL-08","IL",8,12.2366,"Dense Suburban",0,0,749823,0.498,91317,115163,40,0.155063262,0.267,0.028
"110","IN-07","IN",7,12.2291,"Dense Suburban",0,0,747577,0.518,59595,86131,34.4,0.132387701,0.232,0.037
