"stcd","state_code","State","district","urbanindex","grouping","incumbent_party","Winning.party","Total.Population","Percentage.Women","Median.Household.Income","Mean.Household.Income","Median.Age","Percentage.Retirees..65..","Percentage.Bachelors.Degree.in.Population.over.25","Unemployment.Rate..16.and.over.","Region"
"TX-07","TX","Texas",7,12.90726,"Urban-Suburban","DEM","DEM",785353,0.504,70704,112176,33.9,0.115273005,0.274,0.037,"South"
"CO-01","CO","Colorado",1,12.90034,"Urban-Suburban","DEM","DEM",720042,0.495,87684,129542,35,0.123283086,0.358,0.027,"West"
"CA-17","CA","California",17,12.89651,"Urban-Suburban","DEM","DEM",740766,0.474,166489,225445,37.4,0.134193524,0.299,0.027,"West"
"MN-05","MN","Minnesota",5,12.88577,"Urban-Suburban","DEM","DEM",706667,0.499,77372,112891,34.7,0.134365974,0.312,0.031,"Midwest"
"CA-32","CA","California",32,12.8771,"Urban-Suburban","DEM","DEM",783556,0.504,103213,164440,40.6,0.179102706,0.311,0.039,"West"
"CA-52","CA","California",52,12.86991,"Urban-Suburban","DEM","DEM",749240,0.503,79870,97953,35.3,0.13451364,0.181,0.04,"West"
"FL-27","FL","Florida",27,12.86377,"Urban-Suburban","REP","REP",754619,0.509,75323,129442,42.2,0.191162693,0.251,0.018,NA
"WA-07","WA","Washington",7,12.81346,"Urban-Suburban","DEM","DEM",783927,0.49,115418,169142,36.2,0.139784699,0.372,0.024,"West"
"WI-04","WI","Wisconsin",4,12.77521,"Urban-Suburban","DEM","DEM",719451,0.514,54672,82333,34.3,0.138684914,0.206,0.03,"Midwest"
"CA-51","CA","California",51,12.76409,"Urban-Suburban","DEM","DEM",757528,0.5,100357,126874,37.3,0.147778036,0.273,0.031,"West"
"TX-32","TX","Texas",32,12.76321,"Urban-Suburban","DEM","DEM",787408,0.499,65935,98364,32.5,0.101253734,0.262,0.031,"South"
"CA-47","CA","California",47,12.75985,"Urban-Suburban","DEM","DEM",752940,0.503,117944,167329,38.5,0.161201424,0.358,0.026,"West"
"MA-05","MA","Massachusetts",5,12.75613,"Urban-Suburban","DEM","DEM",776294,0.515,115167,171015,39.5,0.172569928,0.284,0.017,"Northeast"
"CA-15","CA","California",15,12.74003,"Urban-Suburban","DEM","DEM",719254,0.5,135162,194363,41.3,0.182016367,0.277,0.024,"West"
"PA-05","PA","Pennsylvania",5,12.70543,"Urban-Suburban","DEM","DEM",768063,0.52,79416,122836,38.7,0.164991674,0.23,0.038,"Northeast"
"CA-16","CA","California",16,12.69778,"Urban-Suburban","DEM","DEM",735381,0.504,160623,252250,40.6,0.179766679,0.292,0.023,"West"
"MD-08","MD","Maryland",8,12.69373,"Urban-Suburban","DEM","DEM",755348,0.51,123494,171443,41.6,0.187945159,0.278,0.022,"South"
"CA-35","CA","California",35,12.69247,"Urban-Suburban","DEM","DEM",769910,0.497,84692,102832,34.2,0.107626865,0.154,0.036,"West"
