"stcd","state_code","State","district","urbanindex","grouping","incumbent_party","Winning.party","Total.Population","Percentage.Women","Median.Household.Income","Mean.Household.Income","Median.Age","Percentage.Retirees..65..","Percentage.Bachelors.Degree.in.Population.over.25","Unemployment.Rate..16.and.over.","Region"
"MA-03","MA","Massachusetts",3,11.50051,"Dense Suburban","DEM","DEM",781020,0.507,91476,129462,39.5,0.157051036,0.222,0.028,"Northeast"
"FL-09","FL","Florida",9,11.49649,"Suburban-Exurban","DEM","DEM",821662,0.5,69493,95156,38.5,0.14254158,0.239,0.023,NA
"CO-07","CO","Colorado",7,11.49257,"Suburban-Exurban","DEM","DEM",724362,0.488,97203,125098,41.7,0.189617898,0.311,0.019,"West"
"GA-11","GA","Georgia",11,11.4803,"Suburban-Exurban","REP","REP",786646,0.514,90472,115456,37.6,0.145182204,0.282,0.022,"South"
"OH-10","OH","Ohio",10,11.47421,"Suburban-Exurban","REP","REP",782035,0.511,64173,87361,39.4,0.189919888,0.182,0.03,"Midwest"
"NY-17","NY","New York",17,11.44308,"Suburban-Exurban","DEM","REP",771464,0.5,115661,172012,40.2,0.17825848,0.273,0.03,"Northeast"
"PA-07","PA","Pennsylvania",7,11.4384,"Suburban-Exurban","DEM","DEM",774340,0.504,72660,103346,40.9,0.189835215,0.195,0.029,"Northeast"
"NM-01","NM","New Mexico",1,11.43298,"Suburban-Exurban","DEM","DEM",713527,0.504,66579,91517,40.6,0.198799765,0.214,0.023,NA
"FL-19","FL","Florida",19,11.42951,"Suburban-Exurban","REP","REP",802244,0.51,76223,109733,54.6,0.348039998,0.23,0.018,NA
"MO-02","MO","Missouri",2,11.42386,"Suburban-Exurban","REP","REP",778625,0.51,96915,133197,41.8,0.198005458,0.29,0.018,"Midwest"
"CA-19","CA","California",19,11.39059,"Suburban-Exurban","DEM","DEM",745616,0.502,118453,175344,41.4,0.202086597,0.279,0.024,"West"
"CA-48","CA","California",48,11.38078,"Suburban-Exurban","REP","REP",766556,0.5,105095,123665,38.7,0.173545051,0.22,0.025,"West"
"OH-15","OH","Ohio",15,11.37228,"Suburban-Exurban","REP","REP",785817,0.497,71285,96379,36.9,0.148911261,0.21,0.023,"Midwest"
"TX-26","TX","Texas",26,11.37112,"Suburban-Exurban","REP","REP",835578,0.501,105363,134953,37.9,0.120614712,0.308,0.025,"South"
"OH-07","OH","Ohio",7,11.35736,"Suburban-Exurban","REP","REP",774125,0.509,81160,107914,42.9,0.207639593,0.234,0.017,"Midwest"
"PA-06","PA","Pennsylvania",6,11.35723,"Suburban-Exurban","DEM","DEM",771296,0.504,98751,138258,39.9,0.174900427,0.293,0.026,"Northeast"
"VA-10","VA","Virginia",10,11.35405,"Suburban-Exurban","DEM","DEM",805988,0.494,152685,176922,38,0.11976481,0.319,0.019,"South"
"VA-04","VA","Virginia",4,11.34923,"Suburban-Exurban","DEM","DEM",790811,0.516,66086,88658,37.2,0.159907993,0.206,0.034,"South"
"FL-21","FL","Florida",21,11.32203,"Suburban-Exurban","DEM","REP",807943,0.503,76355,112956,48,0.269849482,0.229,0.024,NA
"TX-22","TX","Texas",22,11.31486,"Suburban-Exurban","REP","REP",843195,0.498,100510,128070,37.3,0.125390924,0.296,0.026,"South"
"IL-02","IL","Illinois",2,11.29298,"Suburban-Exurban","DEM","DEM",730809,0.523,57780,81581,39.5,0.180168827,0.14,0.053,"Midwest"
"VA-02","VA","Virginia",2,11.28275,"Suburban-Exurban","DEM","REP",780161,0.504,83535,104065,39.3,0.169855966,0.225,0.021,"South"
"OR-06","OR","Oregon",6,11.27783,"Suburban-Exurban","new_seat","DEM",702788,0.502,78442,103286,38.8,0.176959481,0.222,0.024,"West"
"NY-20","NY","New York",20,11.2734,"Suburban-Exurban","DEM","DEM",781546,0.508,79758,111011,40.3,0.186911583,0.232,0.032,"Northeast"
"IN-01","IN","Indiana",1,11.26531,"Suburban-Exurban","DEM","DEM",755538,0.505,69580,92452,39.9,0.179397992,0.186,0.029,"Midwest"
"NJ-07","NJ","New Jersey",7,11.26173,"Suburban-Exurban","DEM","REP",775400,0.508,131419,184568,44.1,0.187823059,0.326,0.029,"Northeast"
"PA-10","PA","Pennsylvania",10,11.25456,"Suburban-Exurban","REP","REP",779565,0.507,75032,99193,39.6,0.18180652,0.207,0.023,"Northeast"
"UT-03","UT","Utah",3,11.24393,"Suburban-Exurban","REP","REP",806633,0.498,87193,114753,30.8,0.126613962,0.294,0.018,"West"
"OH-08","OH","Ohio",8,11.23309,"Suburban-Exurban","REP","REP",781678,0.504,72748,95642,39,0.181945763,0.193,0.022,"Midwest"
"MN-02","MN","Minnesota",2,11.22782,"Suburban-Exurban","DEM","DEM",724575,0.502,101144,127199,38.5,0.152976572,0.298,0.021,"Midwest"
"CT-05","CT","Connecticut",5,11.2163,"Suburban-Exurban","DEM","DEM",734438,0.514,87715,121720,40.8,0.180404609,0.227,0.032,"Northeast"
"IL-14","IL","Illinois",14,11.21229,"Suburban-Exurban","DEM","DEM",756472,0.494,86174,109503,36.6,0.134297106,0.201,0.025,"Midwest"
"SC-04","SC","South Carolina",4,11.18361,"Suburban-Exurban","REP","REP",754482,0.513,64879,94088,38.4,0.168648159,0.227,0.028,"South"
"AZ-07","AZ","Arizona",7,11.1681,"Suburban-Exurban","DEM","DEM",815141,0.499,52555,70987,34,0.146083929,0.138,0.031,"South"
"FL-04","FL","Florida",4,11.16743,"Suburban-Exurban","REP","REP",801792,0.515,70226,87260,38.2,0.163786867,0.175,0.028,NA
"CA-22","CA","California",22,11.14961,"Suburban-Exurban","REP","REP",775019,0.483,54697,73829,30.3,0.09561572,0.073,0.048,"West"
"MA-02","MA","Massachusetts",2,11.14515,"Suburban-Exurban","DEM","DEM",785076,0.505,88327,124258,39.7,0.177210869,0.242,0.031,"Northeast"
"TX-08","TX","Texas",8,11.14212,"Suburban-Exurban","REP","REP",827950,0.5,83466,115576,36.1,0.124935081,0.225,0.023,"South"
"UT-01","UT","Utah",1,11.14186,"Suburban-Exurban","REP","REP",850432,0.495,86951,111939,32,0.11368575,0.252,0.017,"West"
"FL-17","FL","Florida",17,11.13713,"Suburban-Exurban","REP","REP",839779,0.515,70558,94705,55.1,0.345458746,0.199,0.02,NA
"CA-20","CA","California",20,11.13707,"Suburban-Exurban","DEM","REP",793325,0.499,82983,109435,35.3,0.14616204,0.183,0.028,"West"
"TX-34","TX","Texas",34,11.11507,"Suburban-Exurban","DEM","DEM",790190,0.503,48801,65789,31,0.132330199,0.137,0.038,"South"
"MA-01","MA","Massachusetts",1,11.06145,"Suburban-Exurban","DEM","DEM",772032,0.51,68956,96674,42.1,0.198863519,0.191,0.029,"Northeast"
"FL-08","FL","Florida",8,11.05486,"Suburban-Exurban","REP","REP",801682,0.507,73344,99322,48.9,0.268806085,0.213,0.023,NA
"MD-06","MD","Maryland",6,11.05104,"Suburban-Exurban","DEM","DEM",792577,0.502,96041,126053,39.7,0.162129358,0.228,0.028,"South"
"NC-06","NC","North Carolina",6,11.04841,"Suburban-Exurban","REP","DEM",751852,0.522,61429,87520,39,0.170794252,0.215,0.027,"South"
"DE-01","DE","Delaware",1,11.04734,"Suburban-Exurban","DEM","DEM",1018396,0.514,82174,104569,41.5,0.208347244,0.21,0.027,"South"
"OK-05","OK","Oklahoma",5,11.04301,"Suburban-Exurban","REP","REP",807931,0.509,68269,98507,37.6,0.162199495,0.25,0.024,"South"
"TX-28","TX","Texas",28,11.00937,"Suburban-Exurban","DEM","DEM",777758,0.503,60356,79462,33.7,0.124984892,0.151,0.032,"South"
"FL-11","FL","Florida",11,10.99759,"Suburban-Exurban","REP","REP",822462,0.511,78966,110304,44.9,0.25725687,0.233,0.019,NA
"OR-05","OR","Oregon",5,10.97807,"Suburban-Exurban","DEM","REP",719249,0.501,86573,116800,41.8,0.199523392,0.25,0.021,"West"
"WI-01","WI","Wisconsin",1,10.97015,"Suburban-Exurban","REP","REP",729535,0.501,71781,94789,40.5,0.178639819,0.206,0.021,"Midwest"
"TX-05","TX","Texas",5,10.95429,"Suburban-Exurban","REP","REP",787249,0.501,74111,93375,37.1,0.148862685,0.168,0.029,"South"
"TN-05","TN","Tennessee",5,10.9531,"Suburban-Exurban","DEM","REP",784695,0.51,86017,122728,39,0.156081025,0.299,0.016,NA
"LA-01","LA","Louisiana",1,10.95037,"Suburban-Exurban","REP","",775766,0.509,69732,99302,39.8,0.18538451,0.217,0.026,"South"
"IL-13","IL","Illinois",13,10.9285,"Suburban-Exurban","REP","DEM",739838,0.508,59843,83717,37.3,0.175251879,0.186,0.034,"Midwest"
"NE-01","NE","Nebraska",1,10.91282,"Suburban-Exurban","REP","REP",659903,0.494,74193,94549,36.1,0.159773482,0.242,0.015,"Midwest"
"TX-15","TX","Texas",15,10.90763,"Suburban-Exurban","DEM","REP",776813,0.501,55382,78067,32.5,0.128365514,0.161,0.032,"South"
"CA-24","CA","California",24,10.90673,"Suburban-Exurban","DEM","DEM",750711,0.497,91784,122616,37.7,0.187602153,0.246,0.026,"West"
"PA-11","PA","Pennsylvania",11,10.90266,"Suburban-Exurban","REP","REP",768350,0.505,82321,104833,40.5,0.202161775,0.195,0.019,"Northeast"
"MD-05","MD","Maryland",5,10.89787,"Suburban-Exurban","DEM","DEM",789972,0.5,121284,135099,38.8,0.151525624,0.233,0.028,"South"
"NC-04","NC","North Carolina",4,10.8961,"Suburban-Exurban","DEM","DEM",761039,0.521,74019,101762,37.4,0.163069173,0.256,0.019,"South"
"WA-02","WA","Washington",2,10.88959,"Suburban-Exurban","DEM","DEM",782277,0.497,82997,112828,40,0.199430636,0.23,0.026,"West"
"CA-04","CA","California",4,10.88493,"Suburban-Exurban","REP","DEM",765203,0.501,87319,120019,39.3,0.190464491,0.203,0.036,"West"
"VA-07","VA","Virginia",7,10.87841,"Suburban-Exurban","DEM","DEM",798820,0.5,103589,118497,37.8,0.136954508,0.221,0.025,"South"
"FL-12","FL","Florida",12,10.87248,"Suburban-Exurban","REP","REP",806076,0.506,59804,90255,47,0.261756956,0.162,0.024,NA
"IN-05","IN","Indiana",5,10.86186,"Suburban-Exurban","REP","REP",772783,0.506,75915,114079,38.8,0.1668075,0.258,0.022,"Midwest"
"CA-25","CA","California",25,10.85976,"Suburban-Exurban","REP","DEM",773601,0.496,65453,86556,37.3,0.171044246,0.112,0.038,"West"
"TX-04","TX","Texas",4,10.84754,"Suburban-Exurban","REP","REP",817813,0.5,92686,126702,38.8,0.145622532,0.278,0.021,"South"
"CO-02","CO","Colorado",2,10.84144,"Suburban-Exurban","DEM","DEM",726112,0.497,94059,125122,37.7,0.167906604,0.347,0.023,"West"
"WA-03","WA","Washington",3,10.83859,"Suburban-Exurban","REP","DEM",789222,0.501,85196,111673,40.4,0.187109584,0.18,0.026,"West"
"TX-25","TX","Texas",25,10.83693,"Suburban-Exurban","REP","REP",804617,0.51,73257,93297,37.3,0.16056832,0.207,0.026,"South"
"NC-13","NC","North Carolina",13,10.83426,"Suburban-Exurban","REP","DEM",776185,0.506,82201,107430,38.9,0.147535703,0.241,0.021,"South"
"OH-09","OH","Ohio",9,10.81999,"Suburban-Exurban","DEM","DEM",780071,0.506,62077,86175,41.1,0.194420764,0.172,0.022,"Midwest"
"TN-02","TN","Tennessee",2,10.81321,"Suburban-Exurban","REP","REP",790362,0.508,66809,92884,40.3,0.188326362,0.211,0.015,NA
"LA-06","LA","Louisiana",6,10.79623,"Suburban-Exurban","REP","",796937,0.513,70632,96885,35.9,0.15388042,0.202,0.03,"South"
"NY-18","NY","New York",18,10.77794,"Suburban-Exurban","DEM","DEM",786432,0.502,87124,113651,39.5,0.175149282,0.192,0.025,"Northeast"
"WI-05","WI","Wisconsin",5,10.76168,"Suburban-Exurban","REP","REP",741842,0.499,89947,120254,42.9,0.198948024,0.265,0.015,"Midwest"
"NY-22","NY","New York",22,10.73647,"Suburban-Exurban","REP","REP",764843,0.508,68941,93531,40.4,0.194093428,0.197,0.023,"Northeast"
"TX-21","TX","Texas",21,10.72731,"Suburban-Exurban","REP","REP",807859,0.502,88786,118488,40.2,0.188608408,0.297,0.021,"South"
"TX-31","TX","Texas",31,10.70318,"Suburban-Exurban","REP","REP",841841,0.502,89116,118353,37.2,0.14370172,0.253,0.025,"South"
"AZ-09","AZ","Arizona",9,10.70182,"Suburban-Exurban","DEM","REP",851459,0.501,73310,99426,41.5,0.210939106,0.157,0.03,"South"
"MI-08","MI","Michigan",8,10.69794,"Suburban-Exurban","DEM","DEM",768166,0.51,57526,81071,41.5,0.198567757,0.169,0.039,"Midwest"
"CA-03","CA","California",3,10.69738,"Suburban-Exurban","DEM","REP",773866,0.502,98689,138499,43.7,0.223374589,0.263,0.023,"West"
"VA-01","VA","Virginia",1,10.69374,"Suburban-Exurban","REP","REP",810541,0.511,99057,125150,41.8,0.199153405,0.28,0.017,"South"
"TX-14","TX","Texas",14,10.69072,"Suburban-Exurban","REP","REP",773046,0.491,68463,97049,38.2,0.155941561,0.18,0.032,"South"
"UT-02","UT","Utah",2,10.68866,"Suburban-Exurban","REP","REP",849661,0.489,80789,106281,33.7,0.139354401,0.213,0.019,"West"
"IL-17","IL","Illinois",17,10.68504,"Suburban-Exurban","DEM","DEM",738355,0.502,56834,76341,38.7,0.189109575,0.158,0.029,"Midwest"
"AZ-06","AZ","Arizona",6,10.67026,"Suburban-Exurban","REP","REP",790643,0.504,71152,97110,44.1,0.261196267,0.231,0.024,"South"
"MA-09","MA","Massachusetts",9,10.66888,"Suburban-Exurban","DEM","DEM",785636,0.507,94066,135443,47.3,0.246616754,0.251,0.025,"Northeast"
"CA-05","CA","California",5,10.6608,"Suburban-Exurban","DEM","REP",778853,0.505,84734,117476,41.4,0.206017053,0.194,0.031,"West"
"SC-01","SC","South Carolina",1,10.65648,"Suburban-Exurban","REP","REP",762713,0.507,85282,114474,41.3,0.205288228,0.259,0.016,"South"
"SC-02","SC","South Carolina",2,10.65473,"Suburban-Exurban","REP","REP",750640,0.514,71562,92365,40,0.176877065,0.214,0.029,"South"
"TX-36","TX","Texas",36,10.65274,"Suburban-Exurban","REP","REP",770407,0.501,67663,91223,36.7,0.145094736,0.164,0.026,"South"
"CA-23","CA","California",23,10.65169,"Suburban-Exurban","REP","REP",756057,0.485,68322,92714,34,0.134761003,0.118,0.043,"West"
"IN-06","IN","Indiana",6,10.64735,"Suburban-Exurban","REP","REP",758725,0.503,69426,90452,38.2,0.170594089,0.185,0.02,"Midwest"
"KY-06","KY","Kentucky",6,10.63682,"Suburban-Exurban","REP","REP",754485,0.508,62298,88251,37.4,0.162945585,0.215,0.032,"South"
"NH-01","NH","New Hampshire",1,10.62228,"Suburban-Exurban","DEM","DEM",703923,0.504,91412,122606,42.8,0.195399213,0.253,0.013,"Northeast"
"KS-04","KS","Kansas",4,10.60621,"Suburban-Exurban","REP","REP",737034,0.501,65593,85966,37.4,0.169808991,0.202,0.03,"Midwest"
"WI-02","WI","Wisconsin",2,10.60495,"Suburban-Exurban","DEM","DEM",743974,0.497,82271,108255,37.7,0.165516537,0.296,0.014,"Midwest"
"TX-06","TX","Texas",6,10.59703,"Suburban-Exurban","REP","REP",801951,0.487,75003,94733,36,0.126975339,0.182,0.025,"South"
"WA-08","WA","Washington",8,10.57876,"Suburban-Exurban","DEM","DEM",765776,0.49,119767,162820,39.7,0.155165479,0.257,0.02,"West"
"WA-06","WA","Washington",6,10.57689,"Suburban-Exurban","DEM","DEM",773605,0.495,84233,110751,42.5,0.222145669,0.213,0.026,"West"
"CA-13","CA","California",13,10.56639,"Suburban-Exurban","DEM","REP",782352,0.491,67465,90186,32.2,0.114407581,0.107,0.057,"West"
"PA-08","PA","Pennsylvania",8,10.55984,"Suburban-Exurban","DEM","DEM",766586,0.501,63172,87863,43.1,0.205812525,0.174,0.033,"Northeast"
"TX-11","TX","Texas",11,10.5536,"Suburban-Exurban","REP","REP",777332,0.493,62147,86551,33.9,0.135546973,0.167,0.029,"South"
"MI-07","MI","Michigan",7,10.5525,"Suburban-Exurban","REP","DEM",779873,0.506,74404,100573,38.7,0.175397789,0.223,0.025,"Midwest"
"MI-04","MI","Michigan",4,10.54956,"Suburban-Exurban","REP","REP",778490,0.506,70086,92562,37.8,0.177655461,0.209,0.023,"Midwest"
"IA-03","IA","Iowa",3,10.54495,"Suburban-Exurban","DEM","REP",814070,0.501,74960,104117,37.6,0.160299483,0.253,0.02,"Midwest"
"NJ-02","NJ","New Jersey",2,10.52803,"Suburban-Exurban","REP","REP",791164,0.501,80850,108849,43.1,0.209067905,0.195,0.033,"Northeast"
"AL-06","AL","Alabama",6,10.51947,"Suburban-Exurban","REP","REP",710137,0.516,78796,112952,39.8,0.170772682,0.248,0.017,NA
"OH-14","OH","Ohio",14,10.5151,"Suburban-Exurban","REP","REP",784361,0.501,65214,91799,42.9,0.211588796,0.19,0.024,"Midwest"
"FL-01","FL","Florida",1,10.48931,"Rural-Exurban","REP","REP",789347,0.495,71302,91357,39,0.174587349,0.2,0.023,NA
"MN-06","MN","Minnesota",6,10.45171,"Rural-Exurban","REP","REP",731533,0.492,95930,120995,37.5,0.140643006,0.244,0.018,"Midwest"
"WA-05","WA","Washington",5,10.43452,"Rural-Exurban","REP","REP",785349,0.499,67085,96025,38.6,0.185337983,0.209,0.026,"West"
"AR-03","AR","Arkansas",3,10.41405,"Rural-Exurban","REP","REP",784904,0.501,66414,91554,35.6,0.144960403,0.205,0.024,NA
"CT-02","CT","Connecticut",2,10.38751,"Rural-Exurban","DEM","DEM",727411,0.503,88894,120303,42.5,0.204528114,0.223,0.026,"Northeast"
"NV-02","NV","Nevada",2,10.38652,"Rural-Exurban","REP","REP",791398,0.491,79687,102689,40.2,0.19174423,0.176,0.029,"West"
"GA-09","GA","Georgia",9,10.38211,"Rural-Exurban","REP","REP",794277,0.505,76038,99178,40.4,0.176439706,0.201,0.022,"South"
"KY-04","KY","Kentucky",4,10.35224,"Rural-Exurban","REP","REP",762092,0.502,75907,101293,39.5,0.166302756,0.203,0.022,"South"
"FL-06","FL","Florida",6,10.34874,"Rural-Exurban","REP","REP",812621,0.512,60287,83926,49.2,0.279114126,0.165,0.021,NA
"GA-14","GA","Georgia",14,10.32933,"Rural-Exurban","REP","REP",779321,0.501,69169,90546,39.1,0.157582049,0.142,0.019,"South"
"IN-02","IN","Indiana",2,10.29184,"Rural-Exurban","REP","REP",754764,0.505,62487,86538,37.9,0.176210047,0.165,0.019,"Midwest"
"AL-05","AL","Alabama",5,10.27975,"Rural-Exurban","REP","REP",743238,0.506,73698,101427,40.2,0.172317616,0.221,0.021,NA
"AR-02","AR","Arkansas",2,10.27967,"Rural-Exurban","REP","REP",761676,0.521,60134,86830,38.6,0.172123055,0.192,0.027,NA
"FL-18","FL","Florida",18,10.27548,"Rural-Exurban","REP","REP",833693,0.498,57810,78504,40.2,0.211612668,0.128,0.023,NA
"SC-06","SC","South Carolina",6,10.26945,"Rural-Exurban","DEM","DEM",741110,0.521,51364,75482,37.1,0.172225446,0.178,0.035,"South"
"TN-03","TN","Tennessee",3,10.26313,"Rural-Exurban","REP","REP",788228,0.509,68127,93286,40.8,0.190076983,0.181,0.018,NA
"AL-07","AL","Alabama",7,10.25422,"Rural-Exurban","DEM","DEM",716121,0.527,45784,70138,36.5,0.17216085,0.162,0.034,NA
"TN-07","TN","Tennessee",7,10.24005,"Rural-Exurban","REP","REP",801730,0.508,70095,92273,35.5,0.138433138,0.215,0.024,NA
"CA-02","CA","California",2,10.21213,"Rural-Exurban","DEM","DEM",747410,0.507,92721,143695,45.5,0.236768307,0.257,0.036,"West"
"NC-09","NC","North Carolina",9,10.20829,"Rural-Exurban","REP","REP",769258,0.509,62661,79319,36.5,0.172139906,0.184,0.026,"South"
"LA-03","LA","Louisiana",3,10.18615,"Rural-Exurban","REP","",760945,0.509,53406,83247,38,0.162249571,0.166,0.029,"South"
"IN-03","IN","Indiana",3,10.18394,"Rural-Exurban","REP","REP",762110,0.502,65522,86998,37.5,0.170842792,0.169,0.023,"Midwest"
"NC-08","NC","North Carolina",8,10.18313,"Rural-Exurban","REP","REP",760699,0.507,69466,97207,40.5,0.170373564,0.177,0.023,"South"
"CO-04","CO","Colorado",4,10.18295,"Rural-Exurban","REP","REP",748891,0.485,108087,140908,39.1,0.154187993,0.32,0.018,"West"
"NC-10","NC","North Carolina",10,10.17915,"Rural-Exurban","REP","REP",768814,0.5,64668,88672,42.9,0.192945238,0.183,0.023,"South"
"OK-04","OK","Oklahoma",4,10.17789,"Rural-Exurban","REP","REP",805331,0.498,62067,78845,36.3,0.158385807,0.177,0.029,"South"
"OR-04","OR","Oregon",4,10.15422,"Rural-Exurban","DEM","DEM",715450,0.502,61845,81852,42.5,0.233152561,0.193,0.03,"West"
"TX-10","TX","Texas",10,10.15221,"Rural-Exurban","REP","REP",803507,0.495,80035,117620,36.5,0.148516441,0.26,0.023,"South"
"MO-03","MO","Missouri",3,10.14706,"Rural-Exurban","REP","REP",773675,0.507,75478,97042,39.7,0.183274631,0.213,0.021,"Midwest"
"OH-06","OH","Ohio",6,10.12129,"Rural-Exurban","REP","REP",778876,0.501,57817,75239,43.2,0.221416503,0.14,0.019,"Midwest"
"MD-01","MD","Maryland",1,10.11806,"Rural-Exurban","REP","REP",781695,0.503,87671,113507,42.2,0.198133543,0.202,0.02,"South"
"GA-10","GA","Georgia",10,10.11493,"Rural-Exurban","REP","REP",806637,0.511,73988,95128,37.7,0.151582434,0.183,0.026,"South"
"AL-01","AL","Alabama",1,10.10553,"Rural-Exurban","REP","REP",730935,0.515,58781,83458,40.9,0.193123876,0.171,0.029,NA
"PA-16","PA","Pennsylvania",16,10.09883,"Rural-Exurban","REP","REP",761430,0.504,61715,87862,42.9,0.213797723,0.189,0.02,"Northeast"
"TN-06","TN","Tennessee",6,10.09657,"Rural-Exurban","REP","REP",783125,0.499,64687,89526,39.6,0.177156903,0.194,0.021,NA
"HI-02","HI","Hawaii",2,10.08184,"Rural-Exurban","DEM","DEM",722458,0.495,89314,110163,40.7,0.204104598,0.199,0.022,NA
"SC-05","SC","South Carolina",5,10.07118,"Rural-Exurban","REP","REP",758549,0.513,66451,89708,40.5,0.179376678,0.187,0.024,"South"
"WA-04","WA","Washington",4,10.07076,"Rural-Exurban","REP","REP",783190,0.492,73355,93585,35,0.153684291,0.15,0.031,"West"
"WI-08","WI","Wisconsin",8,10.06483,"Rural-Exurban","REP","REP",742030,0.496,71930,94154,41.3,0.188185114,0.209,0.017,"Midwest"
"MO-07","MO","Missouri",7,10.0606,"Rural-Exurban","REP","REP",785669,0.507,56419,74018,38.5,0.182813628,0.175,0.022,"Midwest"
"GA-03","GA","Georgia",3,10.05251,"Rural-Exurban","REP","REP",785113,0.511,74348,99129,39.1,0.173208188,0.173,0.023,"South"
"VA-06","VA","Virginia",6,10.05085,"Rural-Exurban","REP","REP",784909,0.514,67623,88953,40.8,0.203113992,0.174,0.022,"South"
"MI-09","MI","Michigan",9,10.04531,"Rural-Exurban","DEM","REP",777301,0.501,78456,106685,43.8,0.196492736,0.182,0.019,"Midwest"
"NC-05","NC","North Carolina",5,10.03604,"Rural-Exurban","REP","REP",754512,0.514,54503,81612,41.6,0.201550141,0.186,0.028,"South"
"TX-17","TX","Texas",17,10.03186,"Rural-Exurban","REP","REP",781996,0.493,63266,81530,35.9,0.152381854,0.167,0.03,"South"
"TX-27","TX","Texas",27,10.02864,"Rural-Exurban","REP","REP",771898,0.496,61819,82853,38.2,0.171166398,0.136,0.029,"South"
"NY-19","NY","New York",19,10.01977,"Rural-Exurban","DEM","REP",768600,0.5,67645,92799,42.2,0.213001561,0.185,0.024,"Northeast"
"NC-07","NC","North Carolina",7,10.01653,"Rural-Exurban","REP","REP",774574,0.514,62763,85247,41.8,0.210931428,0.203,0.024,"South"
"ID-01","ID","Idaho",1,10.01293,"Rural-Exurban","REP","REP",984950,0.494,72898,93106,39.6,0.185164729,0.205,0.017,"West"
"ID-02","ID","Idaho",2,9.99565,"Rural-Exurban","REP","REP",954083,0.499,72674,92108,35.5,0.154233961,0.224,0.019,"West"
"NM-02","NM","New Mexico",2,9.98027,"Rural-Exurban","REP","DEM",696764,0.503,53550,71424,36.9,0.173502075,0.134,0.03,NA
"TX-19","TX","Texas",19,9.97486,"Rural-Exurban","REP","REP",767757,0.489,58951,84101,33.7,0.140566612,0.167,0.026,"South"
"TX-13","TX","Texas",13,9.96255,"Rural-Exurban","REP","REP",776421,0.489,64369,85974,36.2,0.151028888,0.167,0.021,"South"
"TX-23","TX","Texas",23,9.96234,"Rural-Exurban","REP","REP",778355,0.491,71327,95460,34.6,0.136439028,0.195,0.023,"South"
"IN-04","IN","Indiana",4,9.95885,"Rural-Exurban","REP","REP",768518,0.493,72677,97133,37.4,0.159984542,0.196,0.016,"Midwest"
"PA-14","PA","Pennsylvania",14,9.93512,"Rural-Exurban","REP","REP",755713,0.501,62622,88772,45.1,0.229679786,0.172,0.029,"Northeast"
"GA-02","GA","Georgia",2,9.92455,"Rural-Exurban","DEM","DEM",755007,0.514,48779,68437,37.7,0.166100447,0.122,0.036,"South"
"OH-05","OH","Ohio",5,9.90051,"Rural-Exurban","REP","REP",785544,0.504,64333,88710,40.9,0.193171866,0.159,0.019,"Midwest"
"ME-01","ME","Maine",1,9.89315,"Rural-Exurban","DEM","DEM",697698,0.51,80938,107030,44.3,0.220377585,0.27,0.018,"Northeast"
"GA-01","GA","Georgia",1,9.88095,"Rural-Exurban","REP","REP",790309,0.513,63376,82187,37.1,0.162632591,0.168,0.027,"South"
"TN-01","TN","Tennessee",1,9.8716,"Rural-Exurban","REP","REP",781128,0.505,54716,76834,43.9,0.210449504,0.15,0.021,NA
"FL-03","FL","Florida",3,9.85896,"Rural-Exurban","REP","REP",794723,0.501,56286,80520,40.5,0.217855781,0.162,0.024,NA
"OH-04","OH","Ohio",4,9.84778,"Rural-Exurban","REP","REP",799350,0.495,72537,99973,40.7,0.179650966,0.188,0.023,"Midwest"
"CA-01","CA","California",1,9.84611,"Rural-Exurban","REP","REP",758561,0.496,64471,89083,38.7,0.189180567,0.164,0.038,"West"
"WI-06","WI","Wisconsin",6,9.83501,"Rural-Exurban","REP","REP",733889,0.493,68092,93250,42.7,0.205573322,0.189,0.013,"Midwest"
"SC-07","SC","South Carolina",7,9.82861,"Rural-Exurban","REP","REP",762499,0.521,53313,77890,45,0.236909163,0.161,0.027,"South"
"KS-02","KS","Kansas",2,9.77136,"Rural-Exurban","REP","REP",730784,0.496,60983,80182,37.7,0.174475632,0.169,0.025,"Midwest"
"OH-12","OH","Ohio",12,9.76928,"Rural-Exurban","REP","REP",793038,0.499,69819,95227,40,0.177722883,0.179,0.022,"Midwest"
"FL-02","FL","Florida",2,9.76267,"Rural-Exurban","REP","REP",792422,0.499,57516,83388,38.8,0.176904478,0.172,0.025,NA
"IN-09","IN","Indiana",9,9.74306,"Rural-Exurban","REP","REP",760778,0.501,67283,86927,39.6,0.176168343,0.164,0.021,"Midwest"
"IA-02","IA","Iowa",2,9.73029,"Rural-Exurban","REP","REP",793421,0.5,67862,91117,40.2,0.198049963,0.204,0.02,"Midwest"
"SC-03","SC","South Carolina",3,9.72732,"Rural-Exurban","REP","REP",752641,0.506,56693,80331,41.3,0.196218383,0.157,0.023,"South"
"NC-11","NC","North Carolina",11,9.70481,"Rural-Exurban","REP","REP",756051,0.521,62261,85301,45.7,0.248876068,0.224,0.017,"South"
"MS-04","MS","Mississippi",4,9.69525,"Rural-Exurban","REP","REP",750414,0.513,57460,77273,38.9,0.172612718,0.155,0.031,"South"
"MI-05","MI","Michigan",5,9.67438,"Rural-Exurban","DEM","REP",768082,0.495,64067,85508,42,0.201067074,0.148,0.029,"Midwest"
