"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Under 5 years","SEX AND AGE!!Total population!!5 to 17 years","SEX AND AGE!!Total population!!18 to 24 years","SEX AND AGE!!Total population!!25 to 34 years","SEX AND AGE!!Total population!!35 to 44 years","SEX AND AGE!!Total population!!45 to 54 years","SEX AND AGE!!Total population!!55 to 64 years","SEX AND AGE!!Total population!!65 to 74 years","SEX AND AGE!!Total population!!75 years and over","SEX AND AGE!!Total population!!Median age (years)","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!21 years and over","SEX AND AGE!!Total population!!62 years and over","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!Under 18 years","SEX AND AGE!!Total population!!Under 18 years!!Male","SEX AND AGE!!Total population!!Under 18 years!!Female","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!18 years and over!!Male","SEX AND AGE!!Total population!!18 years and over!!Female","SEX AND AGE!!Total population!!18 to 34 years","SEX AND AGE!!Total population!!18 to 34 years!!Male","SEX AND AGE!!Total population!!18 to 34 years!!Female","SEX AND AGE!!Total population!!35 to 64 years","SEX AND AGE!!Total population!!35 to 64 years!!Male","SEX AND AGE!!Total population!!35 to 64 years!!Female","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!65 years and over!!Male","SEX AND AGE!!Total population!!65 years and over!!Female","EDUCATIONAL ATTAINMENT","EDUCATIONAL ATTAINMENT!!Population 25 years and over","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school diploma","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher!!Male, high school graduate or higher","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher!!Female, high school graduate or higher","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher!!Male, bachelor's degree or higher","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher!!Female, bachelor's degree or higher","EMPLOYMENT STATUS","EMPLOYMENT STATUS!!Population 16 years and over","EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed","EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed","INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)","INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households","INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!Median household income (dollars)","INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With earnings!!Mean earnings (dollars)","INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Individuals!!Mean earnings (dollars)  for full-time, year-round workers:","HEALTH INSURANCE COVERAGE"
"        Margin of Error","","±8,949","±0.5","±0.5","±0.3","±0.5","±0.5","±0.6","±0.5","±0.6","±0.4","±0.4","±0.3","±0.6","±0.5","±0.6","±0.5","±0.4","±5,476","±1.6","±1.6","±6,013","±0.4","±0.4","±5,622","±1.4","±1.4","±5,027","±0.8","±0.8","±3,222","±0.7","±0.7","","±5,832","±1.0","±1.0","±1.1","±0.9","±0.8","±1.0","±1.3","±1.1","±1.2","±1.5","±1.5","","±6,508","±1.1","±0.4","","±4,818","±2,774","±3,606","",""
" -> Congressional District 9 (118th Congress), Georgia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> Congressional District 9 (118th Congress), Georgia -> Total population","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","794,277","49.5%","50.5%","5.5%","16.7%","9.9%","11.1%","12.6%","13.1%","13.5%","10.6%","7.1%","40.4","77.8%","73.6%","22.0%","17.6%","176,107","50.9%","49.1%","618,170","49.1%","50.9%","166,893","50.6%","49.4%","311,135","49.4%","50.6%","140,142","46.6%","53.4%","","539,711","13.3%","26.8%","27.9%","20.1%","11.9%","86.7%","85.8%","87.5%","31.9%","31.0%","32.9%","","641,670","58.4%","2.2%","","284,888","76,038","99,178","",""
"        Margin of Error","","±14,567","±0.5","±0.5","±0.3","±0.6","±0.4","±0.5","±0.5","±0.5","±0.5","±0.4","±0.3","±0.7","±0.7","±0.7","±0.6","±0.5","±6,793","±1.5","±1.5","±11,286","±0.4","±0.4","±5,422","±1.2","±1.2","±7,245","±0.6","±0.6","±3,584","±0.9","±0.9","","±9,443","±1.1","±1.1","±1.3","±1.0","±0.8","±1.1","±1.3","±1.3","±1.1","±1.4","±1.4","","±11,963","±1.0","±0.5","","±5,501","±1,670","±2,867","",""
" -> Congressional District 10 (118th Congress), Georgia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> Congressional District 10 (118th Congress), Georgia -> Total population","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","806,637","48.9%","51.1%","5.6%","16.8%","11.3%","12.6%","14.0%","12.4%","12.1%","9.2%","6.0%","37.7","77.6%","72.8%","18.8%","15.2%","180,974","52.4%","47.6%","625,663","47.9%","52.1%","193,070","48.9%","51.1%","310,321","48.6%","51.4%","122,272","44.6%","55.4%","","534,211","9.9%","31.1%","29.3%","18.3%","11.4%","90.1%","88.9%","91.1%","29.7%","27.2%","32.0%","","648,780","59.9%","2.6%","","291,917","73,988","95,128","",""
"        Margin of Error","","±10,485","±0.5","±0.5","±0.2","±0.5","±0.5","±0.6","±0.5","±0.5","±0.4","±0.3","±0.2","±0.6","±0.5","±0.7","±0.6","±0.4","±5,274","±2.0","±2.0","±8,575","±0.4","±0.4","±5,693","±1.1","±1.1","±5,688","±0.7","±0.7","±3,044","±0.9","±0.9","","±6,870","±0.8","±1.1","±1.1","±1.0","±0.8","±0.8","±1.2","±0.9","±1.1","±1.3","±1.6","","±9,204","±1.0","±0.4","","±4,491","±2,114","±3,964","",""
" -> Congressional District 11 (118th Congress), Georgia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> Congressional District 11 (118th Congress), Georgia -> Total population","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","786,646","48.6%","51.4%","5.3%","16.4%","9.4%","15.3%","14.0%","13.1%","12.0%","8.8%","5.7%","37.6","78.3%","74.5%","18.1%","14.5%","170,556","49.8%","50.2%","616,090","48.2%","51.8%","194,430","49.8%","50.2%","307,453","49.0%","51.0%","114,207","43.7%","56.3%","","542,317","8.1%","21.8%","27.3%","28.2%","14.7%","91.9%","90.8%","92.9%","42.8%","42.1%","43.4%","","637,614","68.1%","2.2%","","305,248","90,472","115,456","",""
"        Margin of Error","","±11,951","±0.5","±0.5","±0.4","±0.5","±0.4","±0.6","±0.5","±0.5","±0.4","±0.4","±0.3","±0.6","±0.5","±0.6","±0.6","±0.5","±5,532","±1.5","±1.5","±9,022","±0.5","±0.5","±6,279","±1.1","±1.1","±6,858","±0.6","±0.6","±3,631","±0.9","±0.9","","±7,884","±0.9","±1.1","±1.2","±1.2","±0.9","±0.9","±1.3","±1.0","±1.4","±1.9","±1.7","","±9,393","±1.0","±0.4","","±4,267","±3,350","±3,373","",""
" -> Congressional District 12 (118th Congress), Georgia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> Congressional District 12 (118th Congress), Georgia -> Total population","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","770,831","49.4%","50.6%","6.1%","16.8%","11.0%","13.3%","13.1%","11.7%","12.0%","9.7%","6.3%","37.1","77.1%","71.6%","19.1%","16.1%","176,532","51.7%","48.3%","594,299","48.7%","51.3%","187,238","52.0%","48.0%","283,323","48.9%","51.1%","123,738","43.3%","56.7%","","509,812","12.8%","32.5%","30.2%","14.5%","9.9%","87.2%","84.7%","89.6%","24.5%","22.8%","26.0%","","613,327","54.8%","2.9%","","282,769","56,189","80,133","",""
"        Margin of Error","","±3,344","±0.3","±0.3","±0.3","±0.3","±0.4","±0.6","±0.4","±0.4","±0.2","±0.2","±0.2","±0.4","±0.1","±0.4","±0.4","±0.2","±1,362","±1.3","±1.3","±2,803","±0.2","±0.2","±3,582","±0.7","±0.7","±3,450","±0.5","±0.5","±1,600","±0.5","±0.5","","±4,014","±1.0","±1.4","±1.5","±1.0","±0.8","±1.0","±1.4","±1.1","±1.3","±1.6","±1.6","","±3,647","±1.2","±0.4","","±4,797","±2,059","±3,231","",""
" -> Congressional District 13 (118th Congress), Georgia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> Congressional District 13 (118th Congress), Georgia -> Total population","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","767,394","46.9%","53.1%","6.2%","18.8%","9.3%","13.9%","13.8%","14.3%","12.2%","7.8%","3.8%","36.4","75.0%","71.0%","15.1%","11.6%","191,722","52.1%","47.9%","575,672","45.2%","54.8%","177,643","46.0%","54.0%","309,237","45.5%","54.5%","88,792","42.7%","57.3%","","504,565","10.0%","28.9%","28.9%","19.3%","12.9%","90.0%","89.3%","90.6%","32.2%","29.9%","34.1%","","600,946","64.9%","3.3%","","281,689","71,993","89,033","",""
"        Margin of Error","","±17,403","±0.8","±0.8","±0.6","±0.8","±0.7","±0.8","±0.8","±0.7","±0.6","±0.4","±0.3","±0.8","±0.9","±1.1","±0.7","±0.6","±9,475","±2.0","±2.0","±12,481","±0.9","±0.9","±8,605","±2.1","±2.1","±8,062","±1.1","±1.1","±4,104","±1.6","±1.6","","±10,440","±1.1","±1.5","±1.5","±1.3","±1.0","±1.1","±1.4","±1.4","±1.6","±2.2","±2.1","","±13,090","±1.4","±0.6","","±6,250","±2,729","±2,934","",""
" -> Congressional District 14 (118th Congress), Georgia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> Congressional District 14 (118th Congress), Georgia -> Total population","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","779,321","49.9%","50.1%","5.6%","17.7%","9.0%","12.7%","13.3%","12.9%","12.9%","9.5%","6.3%","39.1","76.6%","72.9%","20.1%","15.8%","182,189","53.5%","46.5%","597,132","48.9%","51.1%","169,353","51.1%","48.9%","304,972","49.4%","50.6%","122,807","44.6%","55.4%","","527,138","14.1%","33.0%","29.2%","14.2%","9.5%","85.9%","84.5%","87.3%","23.7%","21.5%","25.8%","","618,057","58.9%","1.9%","","286,510","69,169","90,546","",""
"        Margin of Error","","±8,311","±0.5","±0.5","±0.3","±0.3","±0.4","±0.4","±0.5","±0.5","±0.3","±0.3","±0.2","±0.6","±0.3","±0.5","±0.5","±0.3","±3,570","±1.5","±1.5","±6,044","±0.4","±0.4","±3,930","±1.1","±1.1","±5,127","±0.7","±0.7","±2,458","±0.8","±0.8","","±5,319","±1.2","±1.5","±1.1","±1.1","±0.9","±1.2","±1.6","±1.4","±1.3","±1.6","±1.7","","±6,323","±1.2","±0.4","","±3,896","±2,829","±3,883","",""
" -> Congressional District 1 (118th Congress), Hawaii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> Congressional District 1 (118th Congress), Hawaii -> Total population","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","717,738","50.3%","49.7%","4.8%","14.3%","8.5%","14.3%","13.4%","12.2%","12.0%","10.5%","10.0%","40.9","80.9%","77.6%","24.1%","20.5%","136,886","51.3%","48.7%","580,852","50.0%","50.0%","163,726","53.6%","46.4%","269,929","51.0%","49.0%","147,197","44.3%","55.7%","","519,777","7.6%","24.5%","29.3%","24.2%","14.4%","92.4%","93.1%","91.7%","38.6%","36.9%","40.3%","","596,325","59.0%","2.1%","","254,838","96,086","119,586","",""
"        Margin of Error","","±9,345","±0.3","±0.3","±0.3","±0.4","±0.3","±0.4","±0.4","±0.3","±0.3","±0.3","±0.3","±0.5","±0.4","±0.5","±0.5","±0.4","±4,038","±1.2","±1.2","±6,835","±0.3","±0.3","±3,714","±0.9","±0.9","±4,490","±0.5","±0.5","±2,463","±0.6","±0.6","","±5,974","±0.7","±1.0","±1.1","±1.0","±0.8","±0.7","±0.9","±0.8","±1.1","±1.3","±1.3","","±7,071","±0.9","±0.3","","±2,912","±1,857","±3,452","",""
" -> Congressional District 2 (118th Congress), Hawaii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> Congressional District 2 (118th Congress), Hawaii -> Total population","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","722,458","50.5%","49.5%","6.1%","16.0%","8.1%","12.1%","13.3%","11.4%","12.6%","12.1%","8.3%","40.7","77.9%","74.7%","24.4%","20.4%","159,980","51.8%","48.2%","562,478","50.1%","49.9%","145,852","52.8%","47.2%","269,169","50.4%","49.6%","147,457","46.8%","53.2%","","504,066","6.6%","29.1%","32.2%","19.9%","12.3%","93.4%","92.8%","94.0%","32.2%","29.8%","34.5%","","579,342","55.7%","2.2%","","239,989","89,314","110,163","",""
"        Margin of Error","","±9,345","±0.4","±0.4","±0.3","±0.4","±0.4","±0.5","±0.4","±0.4","±0.3","±0.3","±0.3","±0.6","±0.4","±0.5","±0.5","±0.4","±4,081","±1.4","±1.4","±6,820","±0.4","±0.4","±3,964","±1.2","±1.2","±4,636","±0.6","±0.6","±2,459","±0.7","±0.7","","±6,274","±0.6","±1.2","±1.2","±0.9","±0.7","±0.6","±0.8","±0.8","±1.1","±1.5","±1.4","","±6,929","±1.1","±0.3","","±4,337","±3,423","±3,800","",""
" -> Congressional District 1 (118th Congress), Idaho","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> Congressional District 1 (118th Congress), Idaho -> Total population","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","984,950","50.6%","49.4%","5.6%","18.0%","8.4%","12.4%","13.1%","11.7%","12.2%","11.4%","7.1%","39.6","76.4%","72.8%","22.3%","18.5%","232,256","51.8%","48.2%","752,694","50.3%","49.7%","205,499","51.9%","48.1%","364,817","50.7%","49.3%","182,378","47.7%","52.3%","","669,593","7.8%","27.2%","34.9%","20.5%","9.6%","92.2%","91.7%","92.7%","30.1%","29.2%","31.1%","","779,693","58.4%","1.7%","","367,320","72,898","93,106","",""
"        Margin of Error","","±4,945","±0.3","±0.3","±0.2","±0.3","±0.3","±0.3","±0.3","±0.3","±0.3","±0.3","±0.2","±0.5","±0.3","±0.4","±0.5","±0.3","±3,711","±0.9","±0.9","±4,067","±0.3","±0.3","±3,788","±0.9","±0.9","±4,197","±0.4","±0.4","±3,134","±0.5","±0.5","","±4,357","±0.5","±1.1","±1.1","±0.9","±0.6","±0.5","±0.8","±0.6","±1.1","±1.3","±1.4","","±4,603","±0.9","±0.3","","±3,981","±1,568","±2,729","",""
" -> Congressional District 2 (118th Congress), Idaho","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> Congressional District 2 (118th Congress), Idaho -> Total population","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","954,083","50.1%","49.9%","5.9%","18.4%","11.6%","13.4%","13.3%","10.9%","11.0%","9.2%","6.2%","35.5","75.6%","71.0%","18.9%","15.4%","232,364","50.8%","49.2%","721,719","49.9%","50.1%","239,079","50.1%","49.9%","335,488","51.2%","48.8%","147,152","46.5%","53.5%","","610,585","8.2%","24.7%","32.4%","22.4%","12.2%","91.8%","90.7%","92.8%","34.6%","34.0%","35.3%","","751,036","62.0%","1.9%","","349,831","72,674","92,108","",""
"        Margin of Error","","±4,945","±0.3","±0.3","±0.2","±0.4","±0.4","±0.4","±0.4","±0.4","±0.3","±0.2","±0.2","±0.4","±0.3","±0.5","±0.4","±0.3","±3,918","±0.9","±0.9","±3,935","±0.3","±0.3","±4,260","±0.8","±0.8","±4,702","±0.5","±0.5","±2,757","±0.8","±0.8","","±4,823","±0.7","±1.0","±0.9","±1.0","±0.6","±0.7","±0.9","±0.8","±1.1","±1.4","±1.4","","±4,566","±1.0","±0.3","","±3,898","±1,507","±2,838","",""
" -> Congressional District 1 (118th Congress), Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> Congressional District 1 (118th Congress), Illinois -> Total population","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","728,550","47.6%","52.4%","5.5%","16.7%","8.9%","12.4%","12.3%","12.5%","13.1%","10.8%","7.8%","40.2","77.8%","74.1%","22.9%","18.6%","161,693","52.8%","47.2%","566,857","46.1%","53.9%","155,191","51.1%","48.9%","276,177","46.1%","53.9%","135,489","40.2%","59.8%","","502,110","8.8%","26.5%","32.8%","17.9%","14.0%","91.2%","90.5%","91.8%","31.9%","31.5%","32.2%","","586,962","56.3%","5.2%","","300,665","64,107","93,637","",""
"        Margin of Error","","±17,294","±0.8","±0.8","±0.6","±1.0","±0.7","±0.8","±0.8","±0.7","±0.8","±0.6","±0.6","±1.0","±1.1","±1.1","±0.9","±0.8","±10,043","±2.2","±2.2","±12,698","±0.8","±0.8","±7,542","±2.3","±2.3","±9,628","±1.3","±1.3","±5,420","±1.7","±1.7","","±11,512","±0.8","±1.4","±1.2","±1.0","±0.9","±0.8","±1.4","±0.9","±1.2","±1.8","±1.6","","±13,816","±1.3","±0.7","","±6,470","±2,842","±3,558","",""
" -> Congressional District 2 (118th Congress), Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> Congressional District 2 (118th Congress), Illinois -> Total population","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","730,809","47.7%","52.3%","5.4%","17.8%","9.0%","12.5%","11.6%","11.8%","13.7%","10.5%","7.6%","39.5","76.7%","73.1%","22.3%","18.0%","169,991","50.6%","49.4%","560,818","46.9%","53.1%","157,494","49.4%","50.6%","271,655","47.3%","52.7%","131,669","42.9%","57.1%","","494,830","10.6%","31.2%","34.1%","14.0%","10.2%","89.4%","87.6%","91.0%","24.2%","20.4%","27.5%","","581,594","56.1%","5.3%","","294,779","57,780","81,581","",""
"        Margin of Error","","±14,818","±0.8","±0.8","±0.5","±0.8","±0.6","±0.9","±0.7","±0.7","±0.8","±0.6","±0.5","±1.0","±1.0","±1.0","±1.0","±0.8","±9,054","±2.2","±2.2","±11,819","±0.9","±0.9","±7,883","±2.2","±2.2","±8,917","±1.2","±1.2","±5,522","±1.6","±1.6","","±10,334","±0.9","±1.3","±1.3","±1.0","±0.8","±0.9","±1.3","±1.0","±1.2","±1.5","±1.5","","±12,480","±1.3","±0.7","","±6,159","±2,258","±4,089","",""
" -> Congressional District 3 (118th Congress), Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> Congressional District 3 (118th Congress), Illinois -> Total population","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","708,538","50.8%","49.2%","5.7%","15.7%","9.2%","15.9%","14.8%","12.4%","12.3%","8.7%","5.4%","37.2","78.6%","74.9%","17.1%","14.1%","151,300","51.6%","48.4%","557,238","50.5%","49.5%","177,313","52.4%","47.6%","280,348","52.0%","48.0%","99,577","43.1%","56.9%","","492,275","15.6%","23.9%","22.5%","24.7%","13.2%","84.4%","83.8%","84.9%","38.0%","36.1%","39.9%","","578,556","65.3%","3.1%","","269,269","78,452","110,500","",""
"        Margin of Error","","±18,852","±0.8","±0.8","±0.6","±0.9","±0.6","±0.7","±0.7","±0.7","±0.9","±0.6","±0.5","±0.9","±1.1","±1.1","±1.0","±0.8","±10,078","±2.2","±2.2","±13,436","±0.9","±0.9","±8,024","±1.7","±1.7","±8,449","±1.1","±1.1","±5,486","±1.9","±1.9","","±10,776","±1.3","±1.3","±1.0","±1.1","±0.9","±1.3","±1.5","±1.5","±1.4","±1.7","±1.8","","±14,146","±1.1","±0.5","","±6,592","±2,869","±3,665","",""
" -> Congressional District 4 (118th Congress), Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> Congressional District 4 (118th Congress), Illinois -> Total population","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","718,854","50.2%","49.8%","5.2%","17.8%","10.5%","13.7%","12.9%","13.3%","12.4%","8.3%","5.9%","37.2","77.0%","73.1%","17.8%","14.3%","165,160","51.8%","48.2%","553,694","49.7%","50.3%","173,631","51.2%","48.8%","277,549","50.7%","49.3%","102,514","44.7%","55.3%","","478,196","24.4%","28.4%","22.6%","15.4%","9.2%","75.6%","73.2%","78.0%","24.6%","22.2%","27.0%","","576,850","59.7%","3.9%","","248,910","69,123","101,737","",""
"        Margin of Error","","±18,279","±0.9","±0.9","±0.5","±0.8","±0.8","±0.8","±0.7","±0.7","±0.7","±0.6","±0.5","±0.7","±1.0","±1.0","±1.0","±0.8","±9,269","±2.1","±2.1","±13,828","±1.0","±1.0","±8,166","±2.0","±2.0","±8,325","±1.3","±1.3","±5,946","±2.1","±2.1","","±12,620","±1.4","±1.3","±1.2","±1.1","±0.8","±1.4","±2.2","±1.2","±1.2","±1.5","±1.7","","±14,645","±1.2","±0.6","","±6,673","±3,338","±3,925","",""
" -> Congressional District 5 (118th Congress), Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> Congressional District 5 (118th Congress), Illinois -> Total population","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","732,819","49.0%","51.0%","5.7%","12.6%","8.3%","18.9%","15.1%","11.6%","11.6%","8.9%","7.3%","37.5","81.7%","79.3%","19.9%","16.2%","133,892","49.1%","50.9%","598,927","48.9%","51.1%","199,952","48.2%","51.8%","280,167","51.5%","48.5%","118,808","44.1%","55.9%","","537,838","5.0%","12.6%","17.4%","37.4%","27.5%","95.0%","95.4%","94.6%","64.9%","64.4%","65.4%","","612,004","69.7%","1.8%","","333,259","104,191","155,018","",""
"        Margin of Error","","±20,964","±0.9","±0.9","±0.5","±0.7","±0.7","±0.9","±0.9","±0.6","±0.7","±0.7","±0.6","±0.7","±0.9","±1.0","±1.0","±0.8","±8,319","±2.4","±2.4","±16,489","±0.9","±0.9","±10,413","±1.9","±1.9","±10,435","±1.2","±1.2","±5,700","±1.4","±1.4","","±13,971","±0.7","±1.0","±1.0","±1.2","±1.2","±0.7","±0.8","±0.8","±1.3","±1.5","±1.8","","±17,133","±1.2","±0.3","","±8,284","±3,400","±4,611","",""
" -> Congressional District 6 (118th Congress), Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> Congressional District 6 (118th Congress), Illinois -> Total population","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","737,763","49.1%","50.9%","5.5%","15.9%","7.1%","12.9%","13.7%","11.6%","13.6%","11.6%","8.2%","41.1","78.6%","75.5%","24.2%","19.8%","157,935","49.8%","50.2%","579,828","48.9%","51.1%","147,336","53.3%","46.7%","286,388","49.5%","50.5%","146,104","43.2%","56.8%","","527,609","6.3%","22.1%","27.9%","26.2%","17.4%","93.7%","93.1%","94.3%","43.6%","42.2%","45.0%","","600,801","62.9%","2.6%","","295,163","95,298","131,149","",""
"        Margin of Error","","±12,878","±0.8","±0.8","±0.5","±0.8","±0.7","±0.8","±0.7","±0.6","±0.7","±0.7","±0.5","±0.7","±0.9","±1.0","±1.0","±0.8","±8,292","±2.3","±2.3","±9,892","±0.8","±0.8","±6,826","±2.1","±2.1","±7,905","±1.1","±1.1","±5,969","±1.6","±1.6","","±9,693","±0.7","±1.0","±1.1","±1.1","±1.0","±0.7","±0.9","±0.8","±1.2","±1.6","±1.7","","±10,118","±1.2","±0.4","","±6,185","±2,526","±4,093","",""
" -> Congressional District 7 (118th Congress), Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> Congressional District 7 (118th Congress), Illinois -> Total population","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","758,917","47.3%","52.7%","6.2%","14.5%","9.4%","21.4%","14.6%","11.3%","9.6%","7.8%","5.3%","34.2","79.3%","75.9%","16.0%","13.1%","157,138","48.3%","51.7%","601,779","47.0%","53.0%","233,417","47.3%","52.7%","269,077","49.0%","51.0%","99,285","41.2%","58.8%","","530,736","11.1%","20.1%","20.6%","25.7%","22.6%","88.9%","87.3%","90.4%","48.3%","47.4%","49.1%","","618,239","63.2%","4.5%","","335,027","76,365","123,828","",""
"        Margin of Error","","±22,153","±0.9","±0.9","±0.6","±0.9","±0.9","±1.3","±0.7","±1.0","±0.7","±0.6","±0.6","±0.7","±1.1","±1.2","±1.1","±0.9","±11,177","±2.2","±2.2","±15,541","±1.0","±1.0","±11,537","±1.7","±1.7","±12,252","±1.4","±1.4","±6,340","±2.6","±2.6","","±14,706","±1.0","±1.2","±1.3","±1.4","±1.4","±1.0","±1.3","±1.1","±1.8","±2.4","±2.1","","±16,223","±1.3","±0.7","","±8,338","±2,814","±5,839","",""
" -> Congressional District 8 (118th Congress), Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> Congressional District 8 (118th Congress), Illinois -> Total population","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
