"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Under 5 years","SEX AND AGE!!Total population!!5 to 17 years","SEX AND AGE!!Total population!!18 to 24 years","SEX AND AGE!!Total population!!25 to 34 years","SEX AND AGE!!Total population!!35 to 44 years","SEX AND AGE!!Total population!!45 to 54 years","SEX AND AGE!!Total population!!55 to 64 years","SEX AND AGE!!Total population!!65 to 74 years","SEX AND AGE!!Total population!!75 years and over","SEX AND AGE!!Total population!!Median age (years)","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!21 years and over","SEX AND AGE!!Total population!!62 years and over","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!Under 18 years","SEX AND AGE!!Total population!!Under 18 years!!Male","SEX AND AGE!!Total population!!Under 18 years!!Female","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!18 years and over!!Male","SEX AND AGE!!Total population!!18 years and over!!Female","SEX AND AGE!!Total population!!18 to 34 years","SEX AND AGE!!Total population!!18 to 34 years!!Male","SEX AND AGE!!Total population!!18 to 34 years!!Female","SEX AND AGE!!Total population!!35 to 64 years","SEX AND AGE!!Total population!!35 to 64 years!!Male","SEX AND AGE!!Total population!!35 to 64 years!!Female","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!65 years and over!!Male","SEX AND AGE!!Total population!!65 years and over!!Female","EDUCATIONAL ATTAINMENT","EDUCATIONAL ATTAINMENT!!Population 25 years and over","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school diploma","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher!!Male, high school graduate or higher","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher!!Female, high school graduate or higher","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher!!Male, bachelor's degree or higher","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher!!Female, bachelor's degree or higher","EMPLOYMENT STATUS","EMPLOYMENT STATUS!!Population 16 years and over","EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed","EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed","INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)","INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households","INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!Median household income (dollars)","INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With earnings!!Mean earnings (dollars)","INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Individuals!!Mean earnings (dollars)  for full-time, year-round workers:","HEALTH INSURANCE COVERAGE"
"        Estimate","","723,164","48.6%","51.4%","5.3%","15.7%","11.1%","12.4%","12.2%","12.1%","13.1%","11.2%","7.0%","39.4","79.0%","73.6%","22.2%","18.2%","151,540","50.7%","49.3%","571,624","48.0%","52.0%","169,716","50.2%","49.8%","270,063","48.4%","51.6%","131,845","44.4%","55.6%","","491,337","12.2%","33.1%","30.7%","15.2%","8.8%","87.8%","85.8%","89.6%","24.0%","22.4%","25.5%","","590,342","52.7%","2.7%","","294,267","54,047","76,517","",""
"        Margin of Error","","±3,599","±0.4","±0.4","±0.2","±0.3","±0.4","±0.4","±0.5","±0.4","±0.2","±0.3","±0.2","±0.4","±0.2","±0.5","±0.4","±0.2","±1,757","±1.5","±1.5","±3,342","±0.2","±0.2","±3,026","±0.8","±0.8","±3,035","±0.6","±0.6","±1,642","±0.6","±0.6","","±4,250","±0.9","±1.4","±1.1","±0.9","±0.8","±0.9","±1.3","±1.0","±1.2","±1.4","±1.4","","±3,722","±1.1","±0.5","","±4,222","±1,977","±2,893","",""
" -> Congressional District 4 (118th Congress), Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> Congressional District 4 (118th Congress), Alabama -> Total population","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","727,607","48.8%","51.2%","5.9%","16.7%","8.8%","11.8%","12.5%","12.3%","13.2%","11.2%","7.6%","40.8","77.4%","73.5%","22.7%","18.8%","164,388","50.5%","49.5%","563,219","48.3%","51.7%","149,863","50.3%","49.7%","276,433","49.2%","50.8%","136,923","44.2%","55.8%","","498,953","15.3%","32.5%","33.0%","11.8%","7.3%","84.7%","82.8%","86.4%","19.1%","17.7%","20.4%","","581,666","54.2%","2.4%","","280,358","54,960","79,078","",""
"        Margin of Error","","±6,177","±0.3","±0.3","±0.2","±0.3","±0.4","±0.4","±0.4","±0.3","±0.3","±0.2","±0.2","±0.5","±0.3","±0.5","±0.5","±0.3","±3,129","±1.1","±1.1","±4,669","±0.3","±0.3","±3,817","±1.1","±1.1","±3,236","±0.6","±0.6","±2,254","±0.7","±0.7","","±4,000","±0.9","±1.2","±1.1","±0.9","±0.5","±0.9","±1.3","±1.3","±1.0","±1.3","±1.4","","±5,000","±0.9","±0.4","","±4,043","±1,979","±2,678","",""
" -> Congressional District 5 (118th Congress), Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> Congressional District 5 (118th Congress), Alabama -> Total population","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","743,238","49.4%","50.6%","5.3%","16.1%","9.0%","13.1%","12.8%","12.5%","13.9%","10.1%","7.2%","40.2","78.6%","74.4%","21.5%","17.2%","159,264","50.9%","49.1%","583,974","49.0%","51.0%","164,234","51.5%","48.5%","291,667","49.7%","50.3%","128,073","44.1%","55.9%","","516,959","9.5%","24.8%","28.2%","22.1%","15.3%","90.5%","89.6%","91.3%","37.5%","38.3%","36.7%","","601,787","60.2%","2.1%","","298,993","73,698","101,427","",""
"        Margin of Error","","±3,292","±0.3","±0.3","±0.1","±0.2","±0.3","±0.4","±0.3","±0.3","±0.2","±0.1","±0.2","±0.4","±0.1","±0.3","±0.4","±0.2","±1,460","±1.4","±1.4","±2,385","±0.2","±0.2","±2,346","±0.6","±0.6","±2,412","±0.3","±0.3","±1,223","±0.4","±0.4","","±2,202","±0.9","±1.3","±1.1","±1.0","±0.9","±0.9","±1.3","±1.1","±1.4","±1.6","±1.7","","±3,152","±1.1","±0.4","","±3,388","±2,073","±3,621","",""
" -> Congressional District 6 (118th Congress), Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> Congressional District 6 (118th Congress), Alabama -> Total population","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","710,137","48.4%","51.6%","5.5%","17.0%","8.8%","12.2%","13.9%","12.9%","12.7%","10.3%","6.7%","39.8","77.6%","74.2%","20.9%","17.1%","159,362","50.5%","49.5%","550,775","47.8%","52.2%","149,543","49.9%","50.1%","279,960","48.6%","51.4%","121,272","43.5%","56.5%","","488,034","8.8%","25.0%","25.0%","24.8%","16.5%","91.2%","89.7%","92.6%","41.2%","41.4%","41.1%","","570,244","63.0%","1.7%","","281,491","78,796","112,952","",""
